,t,x,y,x0,y0,vx,vy,r,theta,omega,alpha,n,l,angle_o,theta_o
0,0.0,0.5133837989,0.5697833545000001,0.4899915106,0.8394023407,0.023392288299999953,-0.2696189861999999,0.2706318474818255,-0.08654382245488819,,,1637,0.25,5.0,0.08726646259971647
1,0.033366666669999996,0.5112455711,0.5698222542,0.4899884981,0.8394283269,0.021257073000000015,-0.26960607270000003,0.27044278061957033,-0.0786821602078069,,,1637,0.25,5.0,0.08726646259971647
2,0.06673333332999999,0.5086966043,0.5697373689999999,0.4899779013,0.839412899,0.018718702999999948,-0.2696755300000001,0.27032440016170045,-0.06930078994107652,,,1637,0.25,5.0,0.08726646259971647
3,0.1001,0.5047589060000001,0.569654864,0.4899734035,0.8394226438,0.014785502500000047,-0.2697677798,0.270172659798135,-0.05475347793861464,,,1637,0.25,5.0,0.08726646259971647
4,0.1334666667,0.5007533673,0.5696894952,0.4899648479,0.8394228302,0.010788519399999974,-0.26973333499999996,0.2699490028895576,-0.03997567414835137,,,1637,0.25,5.0,0.08726646259971647
5,0.1668333333,0.49695763270000004,0.5696771077,0.48995747689999997,0.8394362882999999,0.007000155800000074,-0.2697591805999999,0.2698499911047018,-0.025943825726764975,0.3632367443508618,,1637,0.25,5.0,0.08726646259971647
6,0.2002,0.4929220864,0.5696681463000001,0.4899488853,0.8394302101000001,0.002973201099999989,-0.2697620638,0.2697784479724359,-0.011021122381147325,0.4055606658885084,,1637,0.25,5.0,0.08726646259971647
7,0.2335666667,0.4884226225,0.569730712,0.48994415869999997,0.839426243,-0.001521536199999951,-0.269695531,0.2696998229769161,0.005641621319769657,0.4492052618540176,,1637,0.25,5.0,0.08726646259971647
8,0.26693333329999996,0.4839995086,0.5699918885999999,0.48994535710000003,0.8394069045,-0.005945848500000017,-0.26941501590000005,0.26948061879619883,0.02206589499188291,0.4604557827211764,,1637,0.25,5.0,0.08726646259971647
9,0.3003,0.4804119707,0.5699210777,0.4899580461,0.8394197136,-0.009546075399999965,-0.2694986359,0.2696676515778325,0.035406806103511816,0.4518430380213142,,1637,0.25,5.0,0.08726646259971647
10,0.3336666667,0.4777122116,0.5700495888,0.48995981479999995,0.8394365124,-0.012247603199999957,-0.26938692359999994,0.26966519684752954,0.04543344093690776,0.42783576379041044,0.38720690934074437,1637,0.25,5.0,0.08726646259971647
11,0.3670333333,0.4747621732,0.5701962578,0.4899575685,0.8394416675,-0.01519539529999997,-0.2692454097,0.2696738598434118,0.056377165230142794,0.4039857407349775,-0.00944011082923648,1637,0.25,5.0,0.08726646259971647
12,0.4004,0.47170938409999996,0.5700192882999999,0.4899578839,0.8394354951,-0.01824849980000004,-0.2694162068000001,0.27003351686679755,0.06763019050281252,0.37155985487182563,-0.4654070343933515,1637,0.25,5.0,0.08726646259971647
13,0.4337666667,0.46970943670000004,0.5700183264,0.4899582583,0.8394436107,-0.020248821599999967,-0.2694252842999999,0.27018511912450766,0.0750145855367884,0.31737476818387383,-0.8576284579082774,1637,0.25,5.0,0.08726646259971647
14,0.4671333333,0.46865387950000004,0.5699962592,0.4899604847,0.8394373923999999,-0.02130660519999994,-0.26944113319999996,0.27028225188726096,0.07891282043366651,0.26077531119128766,-1.1452611021685135,1637,0.25,5.0,0.08726646259971647
15,0.5005,0.4684772262,0.5699685001,0.4899508725,0.8394352612,-0.021473646300000038,-0.2694667611,0.2703210180935659,0.07952135989408252,0.20432319034837737,-1.3397357036088564,1637,0.25,5.0,0.08726646259971647
16,0.5338666667,0.46849337119999995,0.5698839438000001,0.48994086789999997,0.8394440752,-0.021447496700000013,-0.2695601313999999,0.2704120181409874,0.07939753376489507,0.1379842268436853,-1.5944146670862476,1637,0.25,5.0,0.08726646259971647
17,0.5672333333,0.46872553289999996,0.5698436565,0.48994584399999996,0.839493787,-0.0212203111,-0.2696501305,0.2704838155636078,0.07853386611635518,0.06535669711485455,-1.8353835666459486,1637,0.25,5.0,0.08726646259971647
18,0.6006,0.4705186021,0.5697639789,0.4900638458,0.8394221259,-0.019545243699999992,-0.269658147,0.270365554009319,0.07235503145020962,-0.015941383120410893,-1.997899006820989,1637,0.25,5.0,0.08726646259971647
19,0.6339666667,0.47293172899999997,0.5697174027,0.49006660869999996,0.8394023384999999,-0.017134879699999994,-0.26968493579999986,0.27022873403800624,0.06345136791427226,-0.09267603898470479,-2.118589509427938,1637,0.25,5.0,0.08726646259971647
20,0.6673333333,0.4753183015,0.5696932444,0.4900207213,0.839466341,-0.014702419800000033,-0.26977309659999993,0.2701734346621228,0.05444534563917412,-0.150305780050012,-2.125648178463171,1637,0.25,5.0,0.08726646259971647
21,0.7007,0.4778977987,0.5695780002,0.4898673214,0.8396224306,-0.011969522700000013,-0.2700444303999999,0.27030957042569953,0.04429527875878028,-0.21040312669958608,-2.0882358832881054,1637,0.25,5.0,0.08726646259971647
22,0.7340666667,0.4807313911,0.5693606231,0.4897421105,0.8397017462,-0.009010719399999978,-0.2703411231,0.270491249217188,0.033318589114882516,-0.2710206410967187,-2.0162477794737184,1637,0.25,5.0,0.08726646259971647
