,t,x,y,x0,y0,vx,vy,r,theta,omega,alpha,n,l,angle_o,theta_o
0,0.0,189.481737,242.4551258,206.6128486,356.1358519,-17.131111599999997,-113.68072609999999,114.9642660624373,0.14956953819760344,,,1638,0.25,15.0,0.2617993877991494
1,0.033366666669999996,194.34822230000003,241.69170640000002,206.6465975,356.1258666,-12.298375199999981,-114.43416019999998,115.09312339683562,0.10706026635798514,,,1638,0.25,15.0,0.2617993877991494
2,0.06673333332999999,199.5363112,241.4011318,206.64468080000003,356.14998629999997,-7.108369600000032,-114.74885449999996,114.96881545633305,0.061868136521248694,,,1638,0.25,15.0,0.2617993877991494
3,0.1001,204.9694731,241.161059,206.6217508,356.1294826,-1.6522777000000133,-114.96842360000002,114.98029590615498,0.014370588960889153,,,1638,0.25,15.0,0.2617993877991494
4,0.1334666667,210.43711980000003,241.48456209999998,206.7260354,356.11685389999997,3.7110844000000327,-114.63229179999999,114.69234704523345,-0.0323625103540626,,,1638,0.25,15.0,0.2617993877991494
5,0.1668333333,215.2092849,241.50198930000002,206.78408330000002,356.09725960000003,8.42520159999998,-114.59527030000001,114.90456908726783,-0.07338933025857793,-1.336416796613308,,1638,0.25,15.0,0.2617993877991494
6,0.2002,220.0796315,242.10972709999996,206.6277987,356.2001037,13.451832800000005,-114.09037660000004,114.88065911374723,-0.11736321679685624,-1.3451957018819711,,1638,0.25,15.0,0.2617993877991494
7,0.2335666667,224.8058637,242.792532,206.620074,356.2013002,18.185789700000015,-113.4087682,114.85761468728992,-0.159002470827062,-1.3238997430229407,,1638,0.25,15.0,0.2617993877991494
8,0.26693333329999996,228.45230980000002,243.4697142,206.60481069999997,356.2019969,21.84749910000005,-112.73228269999998,114.82979047127631,-0.1914268279942047,-1.2335509532444224,,1638,0.25,15.0,0.2617993877991494
9,0.3003,231.3314556,244.2094445,206.6088344,356.196781,24.722621199999992,-111.9873365,114.68378933119938,-0.21727763050167662,-1.1083823374398603,,1638,0.25,15.0,0.2617993877991494
10,0.3336666667,233.3010848,244.5630313,206.6083091,356.1890798,26.6927757,-111.6260485,114.77316314493935,-0.2347191397796413,-0.9670118443150535,2.214215496079233,1638,0.25,15.0,0.2617993877991494
11,0.3670333333,235.1008262,245.1374846,206.6101875,356.190653,28.490638700000005,-111.0531684,114.64956478422715,-0.25113336860060353,-0.8018190933327896,3.2570026551539426,1638,0.25,15.0,0.2617993877991494
12,0.4004,235.97860919999997,245.4901953,206.6104909,356.181944,29.368118299999963,-110.69174869999998,114.52139364654421,-0.2593395063838626,-0.6014207919474355,4.3305431589635255,1638,0.25,15.0,0.2617993877991494
13,0.4337666667,236.0633305,245.5450926,206.61041819999997,356.169573,29.452912300000037,-110.62448040000001,114.47816257575712,-0.2602061248994222,-0.41226351750153917,4.9228018077267635,1638,0.25,15.0,0.2617993877991494
14,0.4671333333,235.2632345,245.48767850000002,206.6098836,356.1641229,28.65335090000002,-110.67644439999998,114.32536841324772,-0.2533308248140874,-0.21610306324342762,5.348327328546706,1638,0.25,15.0,0.2617993877991494
