,t,x,y,x0,y0,vx,vy,r,theta,omega,alpha,n,l,angle_o,theta_o
0,0.0,0.6157259827,0.31511902140000003,0.4889675793,0.8405148334999999,0.1267584034,-0.5253958120999999,0.540470584032781,-0.23673855197110646,,,1630,0.5,15.0,0.2617993877991494
1,0.033366666669999996,0.6059520267,0.31278149829999996,0.48896617929999997,0.8405436834000001,0.11698584740000006,-0.5277621851000001,0.5405724859012183,-0.21813687663687353,,,1630,0.5,15.0,0.2617993877991494
2,0.06673333332999999,0.5924110438,0.30977752420000004,0.4889538825,0.8405374878,0.10345716129999999,-0.5307599636,0.5407490390050892,-0.19250880103673945,,,1630,0.5,15.0,0.2617993877991494
3,0.1001,0.5755715035,0.3061993764,0.48893646700000004,0.8405568037000001,0.08663503649999993,-0.5343574273,0.5413349145030562,-0.1607307948281535,,,1630,0.5,15.0,0.2617993877991494
4,0.1334666667,0.5595493843,0.3034643856,0.48894014880000003,0.8405591156000001,0.07060923549999998,-0.5370947300000001,0.5417161739616674,-0.1307155268547127,,,1630,0.5,15.0,0.2617993877991494
5,0.1668333333,0.5405946056,0.300953989,0.4889183179,0.8405893914,0.051676287700000045,-0.5396354024000001,0.5421040548030085,-0.09547036619124909,0.8467623540186501,,1630,0.5,15.0,0.2617993877991494
6,0.2002,0.520285774,0.2995573452,0.48889675979999997,0.8406450585999999,0.03138901420000001,-0.5410877134,0.5419974020278033,-0.05794601042660335,0.9601850112901462,,1630,0.5,15.0,0.2617993877991494
7,0.2335666667,0.5019145854,0.2985291811,0.4889037669,0.840624376,0.013010818500000021,-0.5420951948999999,0.5422513086491436,-0.023996377764184538,1.0100644741511136,,1630,0.5,15.0,0.2617993877991494
8,0.26693333329999996,0.4816052636,0.29825177210000003,0.4889086453,0.8406252156,-0.0073033817,-0.5423734435,0.5424226134650948,0.013464782270602077,1.0441293353454482,,1630,0.5,15.0,0.2617993877991494
9,0.3003,0.4606907163,0.2987833976,0.4889376959,0.8406382862,-0.0282469796,-0.5418548886000001,0.54259064879174,0.05208301019051811,1.095695525650038,,1630,0.5,15.0,0.2617993877991494
10,0.3336666667,0.4433076351,0.3002263698,0.48893952090000004,0.8406661648,-0.04563188580000005,-0.540439795,0.5423628315263742,0.08423492823090836,1.0771546108449457,1.3809725670097917,1630,0.5,15.0,0.2617993877991494
11,0.3670333333,0.4241439742,0.301447548,0.48894915759999996,0.8406485612000001,-0.06480518339999997,-0.5392010132,0.5430814344381644,0.1196136900897461,1.06429391131537,0.6240293720273743,1630,0.5,15.0,0.2617993877991494
12,0.4004,0.4068307338,0.3038966218,0.4889398031,0.8406737815,-0.0821090693,-0.5367771597000001,0.5430208268905637,0.15179016555371128,1.0536655932604493,0.2613453690256434,1630,0.5,15.0,0.2617993877991494
13,0.4337666667,0.3930081097,0.3058789541,0.4889250292,0.84063256,-0.09591691950000003,-0.5347536059,0.5432876535219827,0.17747931853081078,0.9831041124656813,-0.36578555136145363,1630,0.5,15.0,0.2617993877991494
14,0.4671333333,0.3807627554,0.30807395260000003,0.48893511100000003,0.8406488066,-0.10817235560000005,-0.5325748539999999,0.5434493846064913,0.20038609029399357,0.8889295528458665,-1.2393564828209218,1630,0.5,15.0,0.2617993877991494
15,0.5005,0.36975778049999997,0.31028504170000004,0.4889132042,0.8406797139,-0.11915542370000004,-0.5303946721999999,0.5436143148366054,0.220985339672792,0.8196827850465741,-1.5432876655813634,1630,0.5,15.0,0.2617993877991494
16,0.5338666667,0.3634697638,0.3124512994,0.48892819369999996,0.8406581151000001,-0.12545842989999995,-0.5282068157000002,0.5429017017701336,0.23319648723816422,0.6808159662434474,-2.2985690990339256,1630,0.5,15.0,0.2617993877991494
17,0.5672333333,0.3589518842,0.3130493021,0.4889414763,0.8406274209000001,-0.1299895921,-0.5275781188000002,0.5433562049805555,0.24157746061538776,0.5381855858605699,-3.08979026031854,1630,0.5,15.0,0.2617993877991494
18,0.6006,0.3557845947,0.313096535,0.4889399898,0.8406301495,-0.13315539509999996,-0.5275336145,0.5440791060789522,0.2472467414888716,0.41818635097919965,-3.3861204450876827,1630,0.5,15.0,0.2617993877991494
19,0.6339666667,0.35694275049999996,0.31317285559999997,0.4889424368,0.8406178223999999,-0.13199968630000003,-0.5274449668,0.543711421790964,0.245225689373433,0.26876882538248553,-3.7172471139490906,1630,0.5,15.0,0.2617993877991494
20,0.6673333333,0.36175696020000003,0.3126465578,0.4889605481,0.8405909398,-0.12720358789999997,-0.527944382,0.5430525050674152,0.23643479253367794,0.09260411323728683,-4.3581139256463075,1630,0.5,15.0,0.2617993877991494
