,t,x,y,x0,y0,vx,vy,r,theta,angle
0,0.0,0.8797678533,0.1517310534,0.4915009575,0.83846046,0.38826689579999996,-0.6867294065999999,0.7888906516516443,-0.5145787617795723,-29.483191277037285
1,0.033366666669999996,0.8797691887000001,0.1517376934,0.4914949065,0.8385107517,0.3882742822000001,-0.6867730583,0.7889322859565708,-0.5145596801460651,-29.482097979971112
2,0.06673333332999999,0.8797559694,0.151713595,0.4914937275,0.8385087103,0.3882622419,-0.6867951152999999,0.7889455614205294,-0.5145326357155989,-29.480548448246065
3,0.1001,0.8782065517000001,0.1507210202,0.4914927322,0.8385148308,0.38671381950000006,-0.6877938106,0.7890550703797216,-0.512201461705062,-29.34698201613171
4,0.1334666667,0.8728286873000001,0.1476858968,0.49149073810000005,0.8385231427,0.3813379492,-0.6908372459,0.789097415927057,-0.5043727512320737,-28.898429946999617
5,0.1668333333,0.8630781188,0.1422928058,0.4914859382,0.8385311662,0.37159218059999993,-0.6962383604,0.7891949082296105,-0.490253668902251,-28.089466118903037
6,0.2002,0.848772535,0.1345592432,0.4914740367,0.8385350687,0.35729849830000004,-0.7039758255,0.7894581558105798,-0.46966434432744675,-26.90978471774177
7,0.2335666667,0.8283607590000001,0.1239227073,0.4914651805,0.8385428593,0.33689557850000007,-0.7146201520000001,0.7900510062377953,-0.44053402847130896,-25.240740563302047
8,0.26693333329999996,0.8040920715000001,0.112203736,0.49144783770000006,0.8385624856999999,0.3126442338,-0.7263587496999999,0.7907866021842658,-0.4064581569917967,-23.288336944295782
9,0.3003,0.7754771315000001,0.09990220462999999,0.4914522329,0.8385727747,0.2840248986000001,-0.73867057007,0.7913939310560065,-0.3670804669210088,-21.03216149626543
10,0.3336666667,0.7405917188,0.08640441355,0.4914516771,0.8386152203,0.24914004169999998,-0.75221080675,0.7923962759691413,-0.3198386985175512,-18.325407550012823
11,0.3670333333,0.7031877803000001,0.07432339076000001,0.4914518572,0.8386618631,0.21173592310000006,-0.76433847234,0.7931238247777291,-0.2702418557494166,-15.483717782224772
12,0.4004,0.6612475188,0.06253614896000001,0.4914590511,0.8386913198999999,0.1697884677,-0.7761551709399999,0.7945092656104235,-0.2153632623153578,-12.33940599283885
13,0.4337666667,0.6170468796,0.053128672620000005,0.4914550621,0.8387461797,0.12559181750000004,-0.78561750708,0.79559296883114,-0.1585224807385684,-9.082669104263855
14,0.4671333333,0.5697119146,0.04656021392,0.4914601981,0.8387694806,0.07825171650000001,-0.79220926668,0.7960646037532757,-0.09845719252467099,-5.641181594370646
15,0.5005,0.5230307542,0.04301396607,0.49144782130000003,0.8388541085,0.03158293289999997,-0.79584014243,0.7964665805629064,-0.039664207508540564,-2.2725916879704844
16,0.5338666667,0.4760435549,0.04219814257,0.4914608949,0.8388628966,-0.015417340000000002,-0.79666475403,0.7968139209918186,0.01934994071987682,1.1086699370772757
17,0.5672333333,0.4272901386,0.044021093319999996,0.4914629964,0.8388606257,-0.06417285780000004,-0.7948395323799999,0.7974258823942674,0.0805621289728756,4.6158699787343815
18,0.6006,0.3789679029,0.048468714979999994,0.4914735329,0.8388371815000001,-0.11250563000000002,-0.7903684665200001,0.7983356622692447,0.14139590070914618,8.10138835108492
19,0.6339666667,0.3301988442,0.055491286279999996,0.49146447600000004,0.8387760738,-0.16126563180000003,-0.78328478752,0.7997134876692431,0.20304658497026729,11.63371236334077
20,0.6673333333,0.2863355068,0.06526550714,0.49145223159999996,0.8387315120000001,-0.20511672479999998,-0.7734660048600001,0.8002015567760216,0.2592247949762021,14.852486697280447
21,0.7007,0.2492096482,0.07597454157000001,0.4914456117,0.83872227,-0.2422359635,-0.7627477284299999,0.8002889223511084,0.30750921933820274,17.618980429441734
22,0.7340666667,0.2147300663,0.08719433610999999,0.49143750140000003,0.8387215917,-0.27670743510000007,-0.7515272555900001,0.8008496866043329,0.3527899975816054,20.21337791585651
