,t,x,y,x0,y0,vx,vy,r,theta,omega,alpha,n,l,angle_o,theta_o
0,0.0,0.4884198419,0.038162422530000004,0.4887156746,0.8398691284,-0.0002958326999999983,-0.80170670587,0.8017067604516711,0.0003690036323841671,,,1626,0.75,15.0,0.2617993877991494
1,0.033366666669999996,0.464415994,0.03815942114,0.4887012921,0.8399083022,-0.02428529810000002,-0.80174888106,0.8021166024866758,0.030281145925100016,,,1626,0.75,15.0,0.2617993877991494
2,0.06673333332999999,0.4400279956,0.038343448530000004,0.4886676454,0.8399275731999999,-0.04863964980000002,-0.8015841246699998,0.8030584813421975,0.06060509799476697,,,1626,0.75,15.0,0.2617993877991494
3,0.1001,0.4169064203,0.04006300772,0.4886455118,0.8399573528000001,-0.07173909149999996,-0.79989434508,0.8031048876331207,0.08944639979930762,,,1626,0.75,15.0,0.2617993877991494
4,0.1334666667,0.39434731450000005,0.04241418066000001,0.4886451652,0.8400002815000001,-0.09429785069999996,-0.79758610084,0.8031411288807181,0.11768275622338445,,,1626,0.75,15.0,0.2617993877991494
5,0.1668333333,0.37329093469999997,0.04493690468,0.4886423122,0.8400481794,-0.11535137750000002,-0.79511127472,0.8034350499436845,0.14407062705902204,0.8613483938886352,,1626,0.75,15.0,0.2617993877991494
6,0.2002,0.35396613579999997,0.04766059315000001,0.4886532647,0.8400467409000001,-0.1346871289,-0.79238614775,0.8037514726813321,0.16836744574742354,0.827690107998253,,1626,0.75,15.0,0.2617993877991494
7,0.2335666667,0.3369757432,0.05045509467,0.4886596556,0.8400386493,-0.1516839124,-0.7895835546300001,0.8040212677679099,0.18979399395153626,0.7743590159503061,,1626,0.75,15.0,0.2617993877991494
8,0.26693333329999996,0.3222547871,0.052807107580000005,0.4886533249,0.8400234479,-0.16639853780000002,-0.7872163403200001,0.804610489521975,0.208309584584717,0.7124666434938967,,1626,0.75,15.0,0.2617993877991494
9,0.3003,0.3100945306,0.0552698187,0.4886597636,0.8400086737000001,-0.17856523300000005,-0.7847388550000001,0.8047984921600285,0.22373770318114236,0.6356939871237289,,1626,0.75,15.0,0.2617993877991494
10,0.3336666667,0.3010106732,0.05736438284,0.4886703696,0.8399900625,-0.18765969639999996,-0.78262567966,0.8048099875847821,0.23533901946775831,0.5470632906147398,-1.8838267909685775,1626,0.75,15.0,0.2617993877991494
11,0.3670333333,0.2943303383,0.05941479777000001,0.4886788622,0.8399739117,-0.19434852390000001,-0.78055911393,0.8043903772928264,0.24402436302942465,0.4534880165824006,-2.242969583397657,1626,0.75,15.0,0.2617993877991494
12,0.4004,0.2901423143,0.06070382659,0.4886876273,0.8399739605,-0.198545313,-0.77927013391,0.8041655196030089,0.2494758586024484,0.3577334540936458,-2.497256112530176,1626,0.75,15.0,0.2617993877991494
13,0.4337666667,0.2894521736,0.06159215044,0.48870473840000006,0.8399599437999999,-0.1992525648000001,-0.77836779336,0.8034662446671259,0.2506061378334298,0.25352579344530535,-2.7508942033373125,1626,0.75,15.0,0.2617993877991494
14,0.4671333333,0.2913573427,0.061542279629999995,0.48870456659999995,0.8399424098,-0.19734722389999992,-0.77840013017,0.803027203418234,0.2482975693525415,0.14721198533748142,-2.927964052520894,1626,0.75,15.0,0.2617993877991494
15,0.5005,0.2964689031,0.06018389216,0.4887081509,0.8399370951,-0.1922392478,-0.7797532029400001,0.8031008566113591,0.24171821261169074,0.038236921903454346,-3.049908300916894,1626,0.75,15.0,0.2617993877991494
16,0.5338666667,0.303862438,0.05912683169,0.4887110939,0.8399253993000001,-0.1848486559,-0.7807985676100001,0.8023810994595177,0.23246317191178362,-0.0692978487877603,-3.1335816074798943,1626,0.75,15.0,0.2617993877991494
17,0.5672333333,0.3144166938,0.05708087688999999,0.4887198972,0.8399101886,-0.1743032034,-0.78282931171,0.801999587274117,0.2190841714419236,-0.18216795537211253,-3.2361722909759205,1626,0.75,15.0,0.2617993877991494
18,0.6006,0.3271704521,0.05463782329,0.4887188154,0.8399165734,-0.1615483633,-0.78527875011,0.801723511604364,0.2028904616075584,-0.28600804902020005,-3.2339690824765874,1626,0.75,15.0,0.2617993877991494
19,0.6339666667,0.3426647169,0.052453954649999995,0.4887218107,0.8399179962000001,-0.14605709379999998,-0.78746404155,0.8008946818299908,0.1833937100023414,-0.38903412159057593,-3.2142623759781044,1626,0.75,15.0,0.2617993877991494
20,0.6673333333,0.3604146333,0.04992251926,0.48872674829999996,0.8399258444,-0.12831211499999995,-0.7900033251399999,0.8003557037892775,0.1610136841283669,-0.48374342843899115,-3.1287533549572237,1626,0.75,15.0,0.2617993877991494
21,0.7007,0.3796890676,0.047569063110000004,0.4887372255,0.8399350945999999,-0.1090481579,-0.79236603149,0.799834625782477,0.13676433340750938,-0.5736194110409851,-3.022906464032411,1626,0.75,15.0,0.2617993877991494
22,0.7340666667,0.401013865,0.04529235618,0.48875810159999994,0.8399822959000001,-0.08774423659999991,-0.79468993972,0.7995193251877618,0.10996774030980203,-0.6540445415970879,-2.828431083437984,1626,0.75,15.0,0.2617993877991494
23,0.7674333333,0.4239495505,0.04330602937,0.4887597568,0.8400206738,-0.0648102063,-0.79671464443,0.7993463501448353,0.08116810122101722,-0.7296045592192371,-2.658920146365698,1626,0.75,15.0,0.2617993877991494
24,0.8008,0.44672661189999996,0.04282557111,0.4887566476,0.8400447823999999,-0.042030035700000024,-0.79721921129,0.79832637107313,0.05267203716244176,-0.7835464897660853,-2.364709497191156,1626,0.75,15.0,0.2617993877991494
25,0.8341666667000001,0.4698884901,0.04265589432,0.48875885880000003,0.8400637775,-0.01887036870000003,-0.79740788318,0.7976311321484904,0.023660221722690312,-0.8232974761346247,-2.0352889951433624,1626,0.75,15.0,0.2617993877991494
26,0.8675333332999999,0.49375754270000005,0.042887551260000004,0.4887542959,0.8400760414,0.005003246800000027,-0.79718849014,0.7972041904620387,-0.006276032797053823,-0.8573848141280239,-1.7008915303936287,1626,0.75,15.0,0.2617993877991494
27,0.9009,0.51846662,0.04352575031000001,0.4887663133,0.8400964915000001,0.029700306700000012,-0.79657074119,0.7971242399639219,-0.03726794576019184,-0.8825315839534753,-1.3695527000686987,1626,0.75,15.0,0.2617993877991494
28,0.9342666667,0.5420533614,0.04522918432,0.4887551871,0.8400967259000001,0.053298174300000056,-0.7948675415800001,0.7966524361609311,-0.06695267888890488,-0.8878368429287671,-0.9484452560526825,1626,0.75,15.0,0.2617993877991494
29,0.9676333333,0.5643985935,0.04803689341,0.488750411,0.8400628684,0.0756481825,-0.79202597499,0.7956304371845093,-0.09522338921794873,-0.886486073981334,-0.6170204860394941,1626,0.75,15.0,0.2617993877991494
30,1.001,0.587692772,0.05043164125,0.48874638060000003,0.8400553618000001,0.0989463914,-0.7896237205500001,0.7957989748839255,-0.12465852166157466,-0.8890234359805887,-0.39396179688493915,1626,0.75,15.0,0.2617993877991494
31,1.034366667,0.6066529943,0.05280609396000001,0.4887496976,0.8400406965,0.1179032967,-0.78723460254,0.7960147654466216,-0.14866397029998343,-0.8534741423404921,0.023440589900883893,1626,0.75,15.0,0.2617993877991494
32,1.067733333,0.6249381143,0.05626301114,0.4887479992,0.8400462981999999,0.1361901151,-0.7837832870599999,0.795527490741539,-0.172042174946932,-0.8078375537234671,0.4477164738605176,1626,0.75,15.0,0.2617993877991494
33,1.1011,0.6408928411,0.05953386039,0.4887443568,0.8400261894,0.1521484843,-0.78049232901,0.7951839013198403,-0.1925246226489984,-0.7526789760577154,0.8101370560688731,1626,0.75,15.0,0.2617993877991494
34,1.134466667,0.6547406752,0.06277750193,0.4887405996,0.8400066508,0.16600007560000002,-0.77722914887,0.7947585639377474,-0.21041785678968358,-0.6904763222034395,1.1748836153032238,1626,0.75,15.0,0.2617993877991494
35,1.167833333,0.6659743842,0.06567252863,0.4887327515,0.8399728271,0.17724163269999998,-0.77430029847,0.7943271042668082,-0.22502867369620458,-0.6016193049352332,1.7227021186075773,1626,0.75,15.0,0.2617993877991494
36,1.2012,0.6749670506000001,0.06817417169,0.488730345,0.8399350908,0.18623670560000005,-0.77176091911,0.7939137401369579,-0.23678703460409944,-0.5282101703722198,1.9496341781351492,1626,0.75,15.0,0.2617993877991494
