Pendulum_Bob
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,4.884198419E-1,3.816242253E-2,,,,
3.336666667E-2,4.644159940E-1,3.815942114E-2,-7.251541657E-1,2.725211042E-3,,
6.673333333E-2,4.400279956E-1,3.834344853E-2,-7.119316734E-1,2.852527329E-2,5.332638450E-1,8.011814689E-1
1.001000000E-1,4.169064203E-1,4.006300772E-2,-6.845256917E-1,6.099998208E-2,9.271641812E-1,6.812234903E-1
1.334666667E-1,3.943473145E-1,4.241418066E-2,-6.535787053E-1,7.303541909E-2,1.167186025E0,2.797015560E-1
1.668333333E-1,3.732909347E-1,4.493690468E-2,-6.051125675E-1,7.861756978E-2,1.651282443E0,1.395578048E-1
2.002000000E-1,3.539661358E-1,4.766059315E-2,-5.441836894E-1,8.269015958E-2,1.925394167E0,-3.472312704E-2
2.335666667E-1,3.369757432E-1,5.045509467E-2,-4.751950359E-1,7.712059575E-2,2.129833818E0,-1.237522251E-1
2.669333333E-1,3.222547871E-1,5.280710758E-2,-4.028153734E-1,7.214871176E-2,2.357624247E0,-1.654202619E-1
3.003000000E-1,3.100945306E-1,5.526981870E-2,-3.183433651E-1,6.829083810E-2,2.458206462E0,-1.246375487E-1
3.336666667E-1,3.010106732E-1,5.736438284E-2,-2.362266586E-1,6.211257359E-2,2.354315973E0,-3.068663087E-1
3.670333333E-1,2.943303383E-1,5.941479777E-2,-1.628625208E-1,5.004161461E-2,2.473874065E0,-4.072536617E-1
4.004000000E-1,2.901423143E-1,6.070382659E-2,-7.309937073E-2,3.262766232E-2,2.652121985E0,-5.904112734E-1
4.337666667E-1,2.894521736E-1,6.159215044E-2,1.820721896E-2,1.256423140E-2,2.719562553E0,-7.997888387E-1
4.671333333E-1,2.913573427E-1,6.154227963E-2,1.051457972E-1,-2.110277147E-2,2.485935391E0,-6.671445828E-1
5.005000000E-1,2.964689031E-1,6.018389216E-2,1.873890409E-1,-3.619552362E-2,2.512420222E0,-4.735890443E-1
5.338666667E-1,3.038624380E-1,5.912683169E-2,2.689479120E-1,-4.649873024E-2,2.366779069E0,-4.052468048E-1
5.672333333E-1,3.144166938E-1,5.708087689E-2,3.492709403E-1,-6.726785812E-2,2.361113440E0,-3.401256415E-1
6.006000000E-1,3.271704521E-1,5.463782329E-2,4.232970501E-1,-6.933449911E-2,2.198264828E0,-9.133133186E-2
6.339666667E-1,3.426647169E-1,5.245395465E-2,4.981645531E-1,-7.065890152E-2,1.962829973E0,-2.160457970E-2
6.673333333E-1,3.604146333E-1,4.992251926E-2,5.548104494E-1,-7.320017302E-2,1.691903770E0,-9.876824430E-4
7.007000000E-1,3.796890676E-1,4.756906311E-2,6.083800964E-1,-6.938306320E-2,1.593912180E0,1.497389090E-1
7.340666667E-1,4.010138650E-1,4.529235618E-2,6.632439992E-1,-6.388162439E-2,1.105577456E0,5.179262464E-1
7.674333333E-1,4.239495505E-1,4.330602937E-2,6.850061970E-1,-3.696481122E-2,4.510950440E-1,7.339507833E-1
8.008000000E-1,4.467266119E-1,4.282557111E-2,6.883956993E-1,-9.742283555E-3,2.889070284E-1,6.090775316E-1
