Pivot
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,4.910919882E-1,8.404773123E-1,,,,
3.336666667E-2,4.910933700E-1,8.405197034E-1,1.153407802E-6,7.410210068E-4,,
6.673333333E-2,4.910920651E-1,8.405267631E-1,-1.496228973E-4,1.409807127E-4,-5.692387519E-3,-6.300068254E-3
1.001000000E-1,4.910833851E-1,8.405291115E-1,-3.864927152E-4,3.378507628E-4,-3.023201534E-3,-7.735802465E-4
1.334666667E-1,4.910662732E-1,8.405493090E-1,-3.893294540E-4,2.295438565E-4,3.166836156E-3,-4.091172086E-3
1.668333333E-1,4.910574039E-1,8.405444297E-1,-1.398174630E-4,-8.892683070E-5,5.933070190E-3,2.599758665E-3
2.002000000E-1,4.910569427E-1,8.405433746E-1,2.010998731E-5,4.099999911E-4,3.935030878E-3,1.722675549E-2
2.335666667E-1,4.910587459E-1,8.405717904E-1,1.069216891E-4,1.137783651E-3,-4.628506547E-4,1.623533606E-2
2.669333333E-1,4.910640779E-1,8.406193027E-1,1.952307638E-5,1.501088635E-3,-1.502490861E-3,-5.601146710E-3
3.003000000E-1,4.910600487E-1,8.406719631E-1,-5.095027304E-5,8.492955390E-4,3.493202075E-3,-1.824924464E-2
3.336666667E-1,4.910606779E-1,8.406759790E-1,2.583993094E-4,7.101609797E-5,4.400570659E-3,-1.727749425E-2
3.670333333E-1,4.910772926E-1,8.406767022E-1,3.257788314E-4,-1.842371394E-4,-4.177367994E-3,8.008975904E-3
4.004000000E-1,4.910824182E-1,8.406636842E-1,-7.160685843E-5,4.357179239E-4,-5.280033833E-3,2.281369335E-2
4.337666667E-1,4.910725140E-1,8.407057791E-1,-9.514130073E-5,1.560825595E-3,-9.601563251E-5,-3.292983170E-3
4.671333333E-1,4.910760691E-1,8.407678433E-1,2.362956415E-5,3.930558269E-4,-1.620749407E-3,-2.985449659E-2
5.005000000E-1,4.910740909E-1,8.407320090E-1,-2.312370628E-4,-9.159337809E-4,-6.743060371E-3,-7.168782923E-3
5.338666667E-1,4.910606378E-1,8.407067200E-1,-4.560847799E-4,5.346940281E-5,-4.125177905E-3,2.730991135E-2
5.672333333E-1,4.910436548E-1,8.407355772E-1,-4.985611240E-4,1.084428292E-3,2.282396317E-3,1.429358311E-2
6.006000000E-1,4.910273672E-1,8.407790875E-1,-3.176019790E-4,9.978841550E-4,2.982710802E-3,-9.311270070E-3
6.339666667E-1,4.910224602E-1,8.408021694E-1,-2.391259725E-4,3.876670338E-4,8.586858530E-4,-1.849227632E-2
6.673333333E-1,4.910114095E-1,8.408049578E-1,-3.134935742E-4,-2.339585596E-4,5.388977422E-3,-1.882427969E-2
7.007000000E-1,4.910015397E-1,8.407865565E-1,8.439329328E-5,-8.702789477E-4,6.597227586E-3,-1.210787795E-2
7.340666667E-1,4.910170414E-1,8.407468812E-1,2.618250812E-4,-1.100353011E-3,2.132917107E-3,-2.778086178E-3
7.674333333E-1,4.910190122E-1,8.407131263E-1,1.075582307E-4,-9.881377837E-4,4.776805752E-3,-3.811696739E-3
8.008000000E-1,4.910242191E-1,8.406809395E-1,5.649969525E-4,-1.311174969E-3,1.277755601E-2,-1.091375778E-2
8.341666667E-1,4.910567163E-1,8.406256272E-1,1.058134161E-3,-1.798678250E-3,5.348318350E-3,-3.948655243E-3
8.675333333E-1,4.910948319E-1,8.405609077E-1,9.193896401E-4,-1.612227210E-3,-3.164789631E-3,6.974642201E-3
9.009000000E-1,4.911180703E-1,8.405180379E-1,7.618690939E-4,-1.227708067E-3,-5.692314724E-3,1.734589837E-2
9.342666667E-1,4.911456740E-1,8.404789787E-1,6.197133488E-4,-5.708209232E-4,3.053147615E-4,1.585486097E-2
9.676333333E-1,4.911594258E-1,8.404799451E-1,6.759116066E-4,-2.023109286E-6,1.706322880E-3,7.139711661E-3
1.001000000E0,4.911907798E-1,8.404788436E-1,8.512328396E-4,-1.694155535E-4,-3.900701922E-5,7.427025120E-3
1.034366667E0,4.912162314E-1,8.404686395E-1,6.294100842E-4,3.634513375E-4,-1.091228157E-2,1.049567976E-2
1.067733333E0,4.912327824E-1,8.405030980E-1,1.473589915E-4,7.780800544E-4,-1.211326466E-2,-1.045297099E-3
1.101100000E0,4.912260652E-1,8.405205634E-1,-2.522416341E-4,1.750936823E-4,-1.329540091E-2,-1.650362316E-3
1.134466667E0,4.912159495E-1,8.405147826E-1,-6.544439331E-4,5.075404775E-4,-9.211640484E-3,-4.533266390E-3
1.167833333E0,4.911823919E-1,8.405544332E-1,-9.657635176E-4,2.507842706E-4,1.922770537E-3,-2.227535628E-3
1.201200000E0,4.911515009E-1,8.405315182E-1,-5.221911061E-4,-9.130271216E-5,9.723996170E-3,6.706926903E-3
1.234566667E0,4.911475444E-1,8.405483403E-1,-1.961560195E-4,9.401430910E-4,5.910259223E-3,2.025322058E-2
1.267933333E0,4.911384108E-1,8.405942571E-1,-2.158708314E-4,1.309309314E-3,1.091936289E-3,1.109291410E-2
1.301300000E0,4.911331386E-1,8.406357149E-1,-1.034638339E-4,1.554467224E-3,-3.111929249E-3,-2.514042120E-3
1.334666667E0,4.911315063E-1,8.406979919E-1,-3.703102738E-4,1.318498769E-3,5.226514960E-4,-1.135043271E-2
1.368033333E0,4.911084266E-1,8.407237027E-1,-2.336398549E-4,6.177237490E-4,7.547489941E-3,-2.365244018E-2
1.401400000E0,4.911159147E-1,8.407392147E-1,2.994299654E-4,-1.390213520E-4,6.824254996E-3,-2.199553010E-2
1.434766667E0,4.911284085E-1,8.407144253E-1,2.023449558E-4,-9.685897449E-4,-2.248526999E-3,-7.619038202E-3
1.468133333E0,4.911294179E-1,8.406745774E-1,8.208703389E-5,-6.967360552E-4,-5.403433091E-3,2.839713969E-3
1.501500000E0,4.911338865E-1,8.406679298E-1,-8.725177650E-5,-5.540209044E-4,-7.314613778E-3,-5.234675642E-3
1.534866667E0,4.911235952E-1,8.406376058E-1,-4.556135924E-4,-1.179793124E-3,-5.829257619E-3,-6.780128703E-3
1.568233333E0,4.911034819E-1,8.405891983E-1,-5.012246155E-4,-1.085414396E-3,3.276548396E-4,9.785058763E-3
1.601600000E0,4.910901469E-1,8.405651724E-1,-3.856940206E-4,-4.257473941E-4,4.251511315E-3,1.693971055E-2
1.634966667E0,4.910777432E-1,8.405607867E-1,-2.459937461E-4,5.087719646E-5,4.388702058E-3,6.666410916E-3
1.668333333E0,4.910737309E-1,8.405685677E-1,-6.655829353E-5,5.467408473E-5,2.904411711E-3,6.850631885E-3
1.701700000E0,4.910733015E-1,8.405644353E-1,-4.955467870E-5,3.616368194E-4,5.077694651E-5,1.322938613E-2
1.735066667E0,4.910704239E-1,8.405927009E-1,-8.193716250E-5,1.069901548E-3,1.054743941E-3,1.490691405E-2
1.768433333E0,4.910678336E-1,8.406358334E-1,1.418615554E-5,1.343467182E-3,4.467216289E-3,-1.991733505E-3
1.801800000E0,4.910713706E-1,8.406823549E-1,2.248201234E-4,9.789929198E-4,2.752603643E-3,-1.943823429E-2
1.835166667E0,4.910828366E-1,8.407011649E-1,2.343231725E-4,8.071426877E-7,-2.566854303E-4,-5.796921711E-3
1.868533333E0,4.910870078E-1,8.406824088E-1,1.551754553E-4,3.590372530E-4,-3.746773294E-3,6.946441036E-3
1.901900000E0,4.910931920E-1,8.407251246E-1,3.062535463E-5,8.670002139E-4,-3.648361501E-3,4.085529253E-3
1.935266667E0,4.910890515E-1,8.407402666E-1,-1.352160231E-4,3.910007940E-4,-6.917387886E-3,-1.790860006E-2
1.968633333E0,4.910841686E-1,8.407512174E-1,-3.788555721E-4,-2.101151798E-4,-3.006450418E-3,4.410725771E-3
2.002000000E0,4.910637692E-1,8.407262449E-1,-4.270243292E-4,3.793948247E-4,5.348771529E-4,2.119112587E-2
2.035366667E0,4.910556718E-1,8.407765357E-1,-2.554509268E-4,1.591180579E-3,2.353546224E-3,9.974078021E-3
2.068733333E0,4.910467221E-1,8.408324297E-1,-2.959824183E-4,1.003780140E-3,-3.102729954E-3,-3.194213145E-2
2.102100000E0,4.910359199E-1,8.408435213E-1,-4.505046701E-4,-6.096562092E-4,-4.411296208E-3,-2.648095719E-2
2.135466667E0,4.910166585E-1,8.407917453E-1,-6.169463119E-4,-1.013522764E-3,6.424182994E-4,-2.178452286E-3
2.168833333E0,4.909947490E-1,8.407758855E-1,-4.328326599E-4,-4.677572672E-4,1.158664398E-2,-3.569398822E-4
2.202200000E0,4.909877741E-1,8.407605303E-1,1.715138323E-4,-1.030584732E-3,1.431256913E-2,-1.334379324E-2
2.235566667E0,4.910061947E-1,8.407071112E-1,5.931786611E-4,-1.532117673E-3,9.217818131E-3,-1.104976292E-2
2.268933333E0,4.910273589E-1,8.406582870E-1,7.303134553E-4,-1.641371197E-3,3.327301266E-3,-2.067472828E-3
2.302300000E0,4.910549310E-1,8.405975770E-1,8.354768654E-4,-1.741895227E-3,1.300083259E-3,4.777927856E-3
2.335666667E0,4.910831130E-1,8.405420445E-1,8.107976507E-4,-1.323587671E-3,-6.619400726E-4,1.452047666E-2
2.369033333E0,4.911090382E-1,8.405092496E-1,7.799153068E-4,-7.236589710E-4,-3.809928295E-3,1.413191269E-2
