Pendulum_Bob
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,7.626717744E-1,3.745316006E-1,,,,
3.336666667E-2,7.620533635E-1,3.743771029E-1,-6.794886335E-2,-3.543401861E-2,,
6.673333333E-2,7.581373202E-1,3.721669704E-1,-1.779788643E-1,-9.684440460E-2,-3.669176230E0,-2.129805822E0
1.001000000E-1,7.501762406E-1,3.679143530E-1,-3.125056443E-1,-1.751002639E-1,-3.805753021E0,-1.859546710E0
1.334666667E-1,7.372827769E-1,3.604819461E-1,-4.371590505E-1,-2.292510322E-1,-3.987759153E0,-1.337237356E0
1.668333333E-1,7.210031599E-1,3.526156674E-1,-5.707283262E-1,-2.564345700E-1,-4.540924977E0,-1.173372144E0
2.002000000E-1,6.991961733E-1,3.433692125E-1,-7.437250873E-1,-3.081071680E-1,-4.419675498E0,-5.724936782E-1
2.335666667E-1,6.713719058E-1,3.320546491E-1,-8.738850661E-1,-3.053587483E-1,-3.583009674E0,2.030140439E-1
2.669333333E-1,6.408789098E-1,3.229916054E-1,-9.729384619E-1,-2.793833115E-1,-2.848729907E0,9.019274330E-1
3.003000000E-1,6.064444791E-1,3.134104694E-1,-1.069758383E0,-2.565755120E-1,-2.590267639E0,1.468351239E0
3.336666667E-1,5.694903671E-1,3.058694662E-1,-1.143067237E0,-1.783581259E-1,-9.325201089E-1,2.533433577E0
3.670333333E-1,5.301637921E-1,3.015080372E-1,-1.141985483E0,-8.482111955E-2,-6.696989207E-1,2.581626027E0
4.004000000E-1,4.932818692E-1,3.002090702E-1,-1.163855500E0,-4.667159812E-3,-1.056019800E-1,2.471089470E0
4.337666667E-1,4.524958351E-1,3.011965820E-1,-1.177403340E0,7.660137326E-2,-2.223032936E-4,2.424242853E0
4.671333333E-1,4.147098196E-1,3.053209351E-1,-1.141390819E0,1.603912271E-1,9.708989881E-1,2.544822024E0
5.005000000E-1,3.763270211E-1,3.119000233E-1,-1.125182331E0,2.435898932E-1,1.982533009E0,1.950928711E0
5.338666667E-1,3.396226520E-1,3.215765007E-1,-1.013051767E0,2.975164185E-1,3.492449925E0,1.230321125E0
5.672333333E-1,3.087226999E-1,3.317542856E-1,-8.777627221E-1,3.191864444E-1,3.886899482E0,2.978997326E-1
6.006000000E-1,2.810466197E-1,3.428768761E-1,-7.619343430E-1,3.219902431E-1,4.401169014E0,-9.532726894E-1
6.339666667E-1,2.578762814E-1,3.532417678E-1,-5.870118240E-1,2.578461999E-1,4.257591333E0,-1.952236080E0
6.673333333E-1,2.418733640E-1,3.600838125E-1,-4.596245337E-1,1.816009664E-1,4.691992443E0,-1.756786587E0
7.007000000E-1,2.272040042E-1,3.653606056E-1,-3.030468755E-1,1.435368446E-1,4.849739126E0,-1.725892597E0
7.340666667E-1,2.216500358E-1,3.696625046E-1,-1.081430439E-1,7.351881878E-2,4.964275332E0,-2.292471288E0
7.674333333E-1,2.199872584E-1,3.702667615E-1,1.598021137E-2,-1.802898515E-2,3.218312451E0,-2.214884379E0
8.008000000E-1,2.227164486E-1,3.684593703E-1,1.126864351E-1,-7.388126307E-2,4.145746399E0,-2.114789855E0
8.341666667E-1,2.275071998E-1,3.653364185E-1,2.735035139E-1,-1.513719369E-1,4.702155233E0,-1.991319089E0
8.675333333E-1,2.409682498E-1,3.583578164E-1,4.522153948E-1,-2.190461930E-1,4.889768522E0,-1.639619319E0
9.009000000E-1,2.576850405E-1,3.507187359E-1,5.834189093E-1,-2.520606803E-1,4.681588593E0,-9.481678599E-1
9.342666667E-1,2.799017383E-1,3.415369670E-1,7.667892508E-1,-2.859698997E-1,4.398273938E0,-6.505703000E-1
9.676333333E-1,3.088554432E-1,3.316350113E-1,8.907185303E-1,-2.954445690E-1,3.542819247E0,1.617376740E-1
1.001000000E0,3.393423549E-1,3.218209661E-1,9.851479358E-1,-2.758670974E-1,2.646800834E0,1.243069997E0
1.034366667E0,3.745976487E-1,3.132254803E-1,1.080996781E0,-2.137295742E-1,2.466298169E0,1.857783167E0
1.067733333E0,4.114808734E-1,3.075580791E-1,1.141356480E0,-1.454493462E-1,1.422544496E0,2.193751198E0
1.101100000E0,4.507641712E-1,3.035191606E-1,1.182044091E0,-7.343136722E-2,1.003899171E0,2.457485901E0
1.134466667E0,4.903626157E-1,3.026577592E-1,1.202337065E0,2.185492255E-2,-2.908209447E-2,2.761576935E0
1.167833333E0,5.310001314E-1,3.049776124E-1,1.188131187E0,1.116572863E-1,-1.021824551E0,2.466187948E0
1.201200000E0,5.696505702E-1,3.101090221E-1,1.127782839E0,1.869253553E-1,-1.945754549E0,2.032778372E0
1.234566667E0,6.062608395E-1,3.174517645E-1,1.059229350E0,2.469230297E-1,-2.828342162E0,1.500049551E0
1.267933333E0,6.403364755E-1,3.265870190E-1,9.436404679E-1,2.879461596E-1,-3.780134195E0,8.316576341E-1
