Pivot
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,4.865229589E-1,8.463071312E-1,,,,
3.336666667E-2,4.865146351E-1,8.463523915E-1,-1.938698282E-4,9.126961378E-4,,
6.673333333E-2,4.865100213E-1,8.463680385E-1,-1.086090534E-5,2.339697700E-4,4.137126155E-3,-1.362439807E-2
1.001000000E-1,4.865139103E-1,8.463680051E-1,1.114104761E-4,-3.398736336E-7,1.102334330E-3,-3.845025779E-3
1.334666667E-1,4.865174561E-1,8.463680158E-1,5.093531128E-5,9.782185358E-6,-1.477334484E-3,5.281568532E-4
1.668333333E-1,4.865173094E-1,8.463686579E-1,-2.520206885E-6,3.523123582E-5,-1.567794956E-3,4.219160907E-5
2.002000000E-1,4.865172879E-1,8.463703669E-1,-3.967194796E-5,2.023919842E-5,-3.416114281E-4,1.344005263E-3
2.335666667E-1,4.865146619E-1,8.463700085E-1,-4.198223927E-5,9.822054974E-5,5.605280306E-4,1.788606884E-3
2.669333333E-1,4.865144863E-1,8.463769215E-1,1.141784405E-5,1.791590044E-4,-6.883528580E-4,3.816682055E-3
3.003000000E-1,4.865154239E-1,8.463819644E-1,-7.383589433E-5,3.070721344E-4,1.039777119E-3,-3.719439448E-4
3.336666667E-1,4.865095590E-1,8.463974134E-1,2.116487825E-5,2.354079843E-4,2.230986243E-3,1.720484540E-3
3.670333333E-1,4.865168363E-1,8.463976740E-1,1.549027818E-4,2.937346124E-4,1.234500637E-3,-7.430187421E-3
4.004000000E-1,4.865198962E-1,8.464170153E-1,6.165070865E-5,-5.549024708E-5,-7.973568617E-4,-2.398141428E-3
4.337666667E-1,4.865209505E-1,8.463939709E-1,9.331646842E-5,-1.638720880E-4,-2.593773012E-4,4.690199593E-3
4.671333333E-1,4.865261235E-1,8.464060796E-1,7.736543288E-5,4.817626292E-4,2.002849303E-3,7.711638524E-3
5.005000000E-1,4.865261133E-1,8.464261206E-1,1.714304624E-4,3.458563917E-4,1.418944573E-3,-4.779696763E-3
5.338666667E-1,4.865375636E-1,8.464291597E-1,2.460882011E-4,7.528199676E-5,-3.836455012E-3,-8.825970169E-3
5.672333333E-1,4.865425356E-1,8.464311444E-1,-1.011259002E-4,-1.774077416E-4,-5.527266141E-3,-4.730211773E-3
6.006000000E-1,4.865308152E-1,8.464173207E-1,-2.017257713E-4,-3.193667964E-4,-2.964988690E-3,4.257447118E-3
6.339666667E-1,4.865290738E-1,8.464098320E-1,-1.994887767E-4,1.186560080E-4,9.231174923E-4,3.181488885E-3
6.673333333E-1,4.865175026E-1,8.464252390E-1,-2.214726598E-4,3.795272762E-5,1.653721497E-3,-4.355014848E-3
7.007000000E-1,4.865142941E-1,8.464123647E-1,-4.026790645E-5,-3.475392931E-4,4.598213741E-3,-3.433241457E-3
7.340666667E-1,4.865148154E-1,8.464020466E-1,7.496976505E-5,-1.433672478E-4,9.166236043E-4,5.610711240E-3
7.674333333E-1,4.865192971E-1,8.464027973E-1,4.292904842E-5,6.301279476E-5,-1.805010663E-3,1.249709027E-3
8.008000000E-1,4.865176802E-1,8.464062516E-1,-7.612194913E-5,-5.013794091E-5,-1.648817245E-3,-3.346029081E-3
8.341666667E-1,4.865142173E-1,8.463994514E-1,-6.717950411E-5,-2.091995018E-4,7.377864828E-4,4.979263798E-4
8.675333333E-1,4.865131971E-1,8.463922910E-1,-1.473877870E-5,-2.376188838E-5,6.788974999E-4,2.708003699E-3
9.009000000E-1,4.865132337E-1,8.463978657E-1,-1.961977295E-5,4.434285287E-5,-5.857626112E-6,-1.557632507E-3
9.342666667E-1,4.865118878E-1,8.463952502E-1,-2.543908702E-5,-1.760797813E-4,9.793465607E-5,3.109311360E-3
9.676333333E-1,4.865115361E-1,8.463861153E-1,-6.452590419E-6,1.770545430E-4,-1.733688049E-4,3.052757164E-3
