Pivot
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,4.899915106E-1,8.394023407E-1,,,,
3.336666667E-2,4.899884981E-1,8.394283269E-1,-2.039352701E-4,1.582162235E-4,,
6.673333333E-2,4.899779013E-1,8.394128990E-1,-2.261929043E-4,-8.516066809E-5,-6.399581064E-4,-3.390957065E-3
1.001000000E-1,4.899734035E-1,8.394226438E-1,-1.956059732E-4,1.488186668E-4,3.071597847E-4,6.186485360E-3
1.334666667E-1,4.899648479E-1,8.394228302E-1,-2.386613844E-4,2.044621124E-4,-8.985918888E-4,-2.357690293E-3
1.668333333E-1,4.899574769E-1,8.394362883E-1,-2.391999050E-4,1.105873343E-4,8.260366480E-4,-3.572682236E-3
2.002000000E-1,4.899488853E-1,8.394302101E-1,-1.995733343E-4,-1.505282802E-4,2.695099472E-3,-8.145667582E-3
2.335666667E-1,4.899441587E-1,8.394262430E-1,-5.286966311E-5,-3.492340569E-4,6.221505573E-3,2.874656410E-3
2.669333333E-1,4.899453571E-1,8.394069045E-1,2.081036890E-4,-9.784290469E-5,3.141298104E-3,9.454120560E-3
3.003000000E-1,4.899580461E-1,8.394197136E-1,2.166497010E-4,4.436739790E-4,-2.285254172E-3,6.797713957E-3
3.336666667E-1,4.899598148E-1,8.394365124E-1,-7.156837182E-6,3.289792052E-4,-3.690623006E-3,-6.365254046E-3
3.670333333E-1,4.899575685E-1,8.394416675E-1,-2.893447008E-5,-1.524346282E-5,-2.911864213E-5,-3.681834005E-3
4.004000000E-1,4.899578839E-1,8.394354951E-1,1.033660309E-5,2.911909652E-5,1.155376447E-3,-1.085398958E-3
4.337666667E-1,4.899582583E-1,8.394436107E-1,3.897169658E-5,2.843124743E-5,-2.310083645E-3,-8.021613692E-4
4.671333333E-1,4.899604847E-1,8.394373924E-1,-1.106772946E-4,-1.251173317E-4,-4.182605473E-3,7.036638720E-4
5.005000000E-1,4.899508725E-1,8.394352612E-1,-2.939578401E-4,1.001419531E-4,6.553246098E-4,1.575773037E-2
5.338666667E-1,4.899408679E-1,8.394440752E-1,-7.535183909E-5,8.770098503E-4,3.467173766E-2,-1.259562067E-2
5.672333333E-1,4.899458440E-1,8.394937870E-1,1.842825749E-3,-3.289104250E-4,1.777937191E-2,-2.291389009E-2
6.006000000E-1,4.900638458E-1,8.394221259E-1,1.809661072E-3,-1.370357425E-3,-2.783989419E-2,1.032355894E-2
6.339666667E-1,4.900666087E-1,8.394023385E-1,-6.462201639E-4,6.625629309E-4,-7.589219681E-2,6.919898272E-2
6.673333333E-1,4.900207213E-1,8.394663410E-1,-2.986323313E-3,3.298083143E-3,-4.663728441E-2,3.724889197E-2
7.007000000E-1,4.898673214E-1,8.396224306E-1,-4.174987977E-3,3.527551286E-3,4.215594029E-2,-2.404975566E-2
7.340666667E-1,4.897421105E-1,8.397017462E-1,-3.135609834E-4,1.318548427E-3,9.148577485E-2,-5.244049008E-2
7.674333333E-1,4.898463964E-1,8.397104217E-1,2.886525674E-3,-6.380836049E-5,4.365354139E-2,-4.111291567E-2
8.008000000E-1,4.899347380E-1,8.396974881E-1,2.115978602E-3,-1.244009604E-3,-2.769231739E-2,-3.545436654E-2
8.341666667E-1,4.899876027E-1,8.396274048E-1,1.003715024E-3,-2.562242172E-3,-2.646673416E-2,9.613694575E-3
8.675333333E-1,4.900017192E-1,8.395265011E-1,2.802201777E-4,-9.135719809E-4,-1.578410222E-2,3.853114117E-2
9.009000000E-1,4.900063028E-1,8.395664391E-1,1.062927103E-5,7.429125011E-4,-1.231069942E-3,1.119127466E-2
9.342666667E-1,4.900024285E-1,8.395760781E-1,1.449662164E-4,-4.871096815E-4,1.520862159E-3,-2.529105522E-2
9.676333333E-1,4.900159768E-1,8.395339326E-1,2.299731555E-4,-1.121870576E-3,-9.974499502E-4,-3.156496706E-3
1.001000000E0,4.900177754E-1,8.395012120E-1,-1.311287335E-6,-6.008070210E-4,-2.043882145E-3,1.716666261E-2
1.034366667E0,4.900158893E-1,8.394938388E-1,8.301998787E-5,7.043547838E-5,-3.003589871E-2,2.504055010E-2
1.067733333E0,4.900233156E-1,8.395059124E-1,-1.685384353E-3,1.007057670E-3,-1.289185694E-2,-3.775108798E-3
1.101100000E0,4.899034180E-1,8.395610431E-1,-1.623732316E-3,1.726064434E-4,3.330073490E-2,-2.012343447E-2
1.134466667E0,4.899149585E-1,8.395174310E-1,1.243902368E-3,-9.078146804E-4,7.815678381E-2,-2.777015023E-2
1.167833333E0,4.899864278E-1,8.395004616E-1,3.388988585E-3,-1.249318001E-3,4.527795767E-2,-1.182196355E-2
1.201200000E0,4.901411171E-1,8.394340598E-1,4.511284855E-3,-1.968491406E-3,-7.533385523E-2,3.730803612E-2
1.234566667E0,4.902874808E-1,8.393690976E-1,-1.072259718E-3,9.399462768E-4,-1.103721737E-1,4.621842421E-2
1.267933333E0,4.900695616E-1,8.394967856E-1,-4.662923670E-3,2.173712387E-3,-2.703702382E-2,-1.708092554E-3
1.301300000E0,4.899763084E-1,8.395141567E-1,-1.716935230E-3,1.365798772E-5,6.541066066E-2,-4.137152504E-2
1.334666667E0,4.899549848E-1,8.394976970E-1,-3.045533270E-4,-4.955171942E-4,2.336786590E-2,-2.062620634E-3
1.368033333E0,4.899559845E-1,8.394810892E-1,-1.851884908E-4,-1.078921782E-4,2.178055608E-3,6.593016541E-3
1.401400000E0,4.899426265E-1,8.394904970E-1,-2.849487146E-4,8.438284740E-5,-1.595722535E-3,-1.545832361E-3
1.434766667E0,4.899369690E-1,8.394867203E-1,-2.206698164E-4,-2.969412108E-4,1.227573529E-3,-9.087293912E-3
1.468133333E0,4.899279005E-1,8.394706811E-1,-2.388247739E-4,-5.381161141E-4,5.415066945E-3,4.307476633E-3
1.501500000E0,4.899210314E-1,8.394508100E-1,1.120036125E-4,-7.413119824E-5,5.890776243E-3,4.182399263E-3
1.534866667E0,4.899353749E-1,8.394657341E-1,2.640830173E-4,-3.319566542E-5,1.926693543E-3,6.523454344E-3
1.568233333E0,4.899386545E-1,8.394485948E-1,1.416106137E-4,6.654875466E-5,-3.499012808E-3,7.816137335E-3
1.601600000E0,4.899448250E-1,8.394701751E-1,8.142947187E-5,7.133092492E-4,-2.797444242E-4,3.992477529E-3
1.634966667E0,4.899440886E-1,8.394961963E-1,7.352565545E-5,3.329487902E-4,5.005216398E-3,-1.451979945E-2
1.668333333E0,4.899497316E-1,8.394923939E-1,4.214907062E-4,-3.579788884E-4,1.303628653E-2,-2.453056323E-2
