Pivot
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,4.915009575E-1,8.384604600E-1,,,,
3.336666667E-2,4.914949065E-1,8.385107517E-1,-1.083407224E-4,7.230316571E-4,,
6.673333333E-2,4.914937275E-1,8.385087103E-1,-3.258225441E-5,6.112621474E-5,1.064667300E-3,-9.725952602E-3
1.001000000E-1,4.914927322E-1,8.385148308E-1,-4.479709205E-5,2.162698787E-4,-1.057378112E-3,2.864111359E-3
1.334666667E-1,4.914907381E-1,8.385231427E-1,-1.018076758E-4,2.447854785E-4,-3.158855961E-3,-6.062104934E-4
1.668333333E-1,4.914859382E-1,8.385311662E-1,-2.502698971E-4,1.787110095E-4,-2.672269343E-3,-6.625539285E-4
2.002000000E-1,4.914740367E-1,8.385350687E-1,-3.110551064E-4,1.752218440E-4,-2.828142129E-3,3.476536661E-3
2.335666667E-1,4.914651805E-1,8.385428593E-1,-3.925932643E-4,4.108432030E-4,3.093264838E-3,3.157656793E-3
2.669333333E-1,4.914478377E-1,8.385624857E-1,-1.940198613E-4,4.482819427E-4,4.919455091E-3,7.695381178E-3
3.003000000E-1,4.914522329E-1,8.385727747E-1,5.753426324E-5,7.902294496E-4,3.861606796E-3,1.105937214E-2
3.336666667E-1,4.914516771E-1,8.386152203E-1,-5.629487891E-6,1.334990754E-3,8.126400905E-4,5.457582195E-3
3.670333333E-1,4.914518572E-1,8.386618631E-1,1.104990804E-4,1.140353783E-3,1.890762630E-5,9.806376280E-4
4.004000000E-1,4.914590511E-1,8.386913199E-1,4.802543618E-5,1.263486321E-3,-1.630925031E-4,-2.730631209E-3
4.337666667E-1,4.914550621E-1,8.387461797E-1,1.718813895E-5,1.171239443E-3,-3.851537718E-3,1.010902867E-2
4.671333333E-1,4.914601981E-1,8.387694806E-1,-1.085032206E-4,1.617314147E-3,2.131614803E-3,-3.954198167E-3
5.005000000E-1,4.914478213E-1,8.388541085E-1,1.044195041E-5,1.399839780E-3,2.486913310E-3,-1.629383212E-2
5.338666667E-1,4.914608949E-1,8.388628966E-1,2.273991075E-4,9.766039104E-5,4.472334476E-3,-2.915348919E-2
5.672333333E-1,4.914629964E-1,8.388606257E-1,1.893802778E-4,-3.853409953E-4,-4.597004594E-3,-2.065416037E-2
6.006000000E-1,4.914735329E-1,8.388371815E-1,2.217166924E-5,-1.267011197E-3,-6.195709847E-3,-1.568586415E-2
6.339666667E-1,4.914644760E-1,8.387760738E-1,-3.192011723E-4,-1.583459107E-3,-4.811836690E-3,5.767766176E-3
6.673333333E-1,4.914522316E-1,8.387315120E-1,-2.826822896E-4,-8.062513116E-4,9.646496524E-4,2.004001378E-2
7.007000000E-1,4.914456117E-1,8.387222700E-1,-2.207314352E-4,-1.486558101E-4,3.108961643E-5,1.718354761E-2
7.340666667E-1,4.914375014E-1,8.387215917E-1,-2.920337241E-4,2.612889313E-4,3.189945771E-3,8.787376318E-3
7.674333333E-1,4.914261233E-1,8.387397066E-1,-5.894952055E-5,5.052618506E-4,4.025966627E-3,-2.535364207E-3
8.008000000E-1,4.914335675E-1,8.387553095E-1,8.407561442E-5,9.442313741E-5,-2.011892755E-3,-4.806357893E-3
8.341666667E-1,4.914317339E-1,8.387460078E-1,-2.459411614E-4,3.801289819E-5,-1.280882350E-3,-9.356442653E-3
8.675333333E-1,4.914171550E-1,8.387578462E-1,-8.621175901E-5,-2.935225584E-4,2.776613256E-3,-8.586933640E-3
9.009000000E-1,4.914259808E-1,8.387264201E-1,9.154913371E-5,-7.875527817E-4,4.678041303E-3,-1.251893941E-2
9.342666667E-1,4.914232644E-1,8.387052902E-1,1.004680964E-4,-9.473790939E-4,3.563964469E-3,-7.565064622E-3
9.676333333E-1,4.914326853E-1,8.386631983E-1,3.905932134E-4,-1.386347871E-3,7.784864388E-3,-7.037629784E-3
1.001000000E0,4.914493300E-1,8.386127746E-1,6.091636069E-4,-1.420744057E-3,5.082286416E-3,1.162971810E-3
1.034366667E0,4.914733368E-1,8.385683873E-1,7.425172803E-4,-1.273212071E-3,1.236074516E-4,7.656799870E-3
1.067733333E0,4.914988807E-1,8.385278089E-1,6.278971961E-4,-9.451126961E-4,-3.140734670E-3,1.581643757E-2
1.101100000E0,4.915152385E-1,8.385053168E-1,4.902985622E-4,-2.141522883E-4,-3.939903743E-3,1.250457827E-2
1.134466667E0,4.915315999E-1,8.385135178E-1,3.978663193E-4,1.501904213E-5,-4.732045833E-3,-1.449967750E-4
1.167833333E0,4.915417895E-1,8.385063191E-1,1.677437286E-4,-3.380017984E-4,-3.489521680E-4,-4.020759148E-3
1.201200000E0,4.915427940E-1,8.384909618E-1,3.086719160E-4,-2.808872993E-4,1.874549452E-3,7.893077951E-3
1.234566667E0,4.915623882E-1,8.384875745E-1,4.164843937E-4,2.125729413E-4,1.662791580E-3,1.437974283E-2
1.267933333E0,4.915705874E-1,8.385051475E-1,3.203887281E-4,7.158152082E-4,-3.311162749E-4,9.986437460E-3
1.301300000E0,4.915837688E-1,8.385353433E-1,4.344784892E-4,8.902734449E-4,-4.604438936E-3,2.468526735E-3
1.334666667E0,4.915995816E-1,8.385645584E-1,7.124421840E-5,8.526099406E-4,-1.093014244E-2,-3.052752166E-3
1.368033333E0,4.915885231E-1,8.385922408E-1,-4.050842341E-4,7.005330637E-4,-8.455812432E-3,-3.277316411E-3
1.401400000E0,4.915725490E-1,8.386113074E-1,-4.593354995E-4,5.966886290E-4,6.958660780E-5,-1.569820549E-3
1.434766667E0,4.915578701E-1,8.386320598E-1,-3.913158518E-4,6.214997523E-4,6.220043641E-3,-2.668936034E-3
1.468133333E0,4.915464352E-1,8.386527821E-1,-7.183206500E-5,4.406194406E-4,9.985417086E-4,2.308086927E-3
1.501500000E0,4.915530766E-1,8.386614638E-1,-1.975721634E-4,6.660582041E-4,-3.300861481E-4,-1.016554571E-2
1.534866667E0,4.915332505E-1,8.386972304E-1,-2.894135683E-4,4.997025628E-5,-4.890783168E-3,-1.719954825E-2
1.568233333E0,4.915337630E-1,8.386647985E-1,-3.307666234E-4,-8.492300305E-4,5.629803731E-4,-6.827443823E-3
1.601600000E0,4.915111774E-1,8.386405584E-1,-4.296032541E-4,-2.873177647E-4,1.792085693E-3,1.909139971E-2
1.634966667E0,4.915050942E-1,8.386456248E-1,-1.024790203E-4,4.851269476E-4,2.934889814E-3,1.279881987E-2
1.668333333E0,4.915043386E-1,8.386729326E-1,-2.183127621E-4,6.266706853E-4,3.067252070E-3,-7.112520215E-3
1.701700000E0,4.914905254E-1,8.386874446E-1,-2.121131496E-5,-2.605711928E-5,6.082631355E-3,-1.504962355E-2
1.735066667E0,4.915029231E-1,8.386711937E-1,3.332471992E-4,-4.825936616E-4,4.731116239E-3,-7.907511342E-3
1.768433333E0,4.915127641E-1,8.386552395E-1,2.358907258E-4,-4.855664119E-4,-6.572865153E-3,-3.094073053E-3
1.801800000E0,4.915186649E-1,8.386387902E-1,-8.007586690E-5,-6.669715929E-4,-5.814282165E-3,-5.812466189E-3
1.835166667E0,4.915074204E-1,8.386107303E-1,-2.320756816E-4,-9.119587417E-4,-1.618564324E-3,-1.903893999E-3
1.868533333E0,4.915031777E-1,8.385779322E-1,-1.221256614E-4,-8.136439695E-4,2.241287336E-3,1.772186920E-3
1.901900000E0,4.914992705E-1,8.385564331E-1,-9.868904245E-5,-7.238195749E-4,-2.365540740E-3,5.809540749E-3
1.935266667E0,4.914965918E-1,8.385296293E-1,-2.510493544E-4,-5.141612242E-4,-1.943375596E-3,8.160400477E-3
1.968633333E0,4.914825172E-1,8.385221214E-1,-2.975503118E-4,-1.027449935E-4,1.708350375E-3,1.075783109E-2
2.002000000E0,4.914767353E-1,8.385227728E-1,-8.916207810E-5,1.751393813E-4,2.169172495E-3,8.397951078E-3
2.035366667E0,4.914765671E-1,8.385338091E-1,-1.288284483E-4,4.654346355E-4,1.871390170E-3,1.371899401E-2
2.068733333E0,4.914681382E-1,8.385538328E-1,-4.178193836E-5,1.043552665E-3,-8.450848421E-4,6.784633426E-3
2.102100000E0,4.914737788E-1,8.386034488E-1,-7.275765446E-5,1.083321345E-3,1.726721111E-3,-3.109942256E-3
2.135466667E0,4.914632828E-1,8.386261264E-1,-6.186037914E-5,6.601216371E-4,1.332509699E-3,2.398626216E-3
2.168833333E0,4.914696507E-1,8.386475009E-1,1.314030097E-4,1.213617590E-3,3.866769777E-4,7.343855324E-3
2.202200000E0,4.914720518E-1,8.387071152E-1,-6.900317352E-5,1.375453104E-3,-4.990873006E-3,4.962442977E-3
2.235566667E0,4.914650459E-1,8.387392895E-1,-2.305039673E-4,1.297789148E-3,2.396268945E-3,-8.786473460E-3
2.268933333E0,4.914566695E-1,8.387937210E-1,6.065015113E-5,1.029158054E-3,6.298600441E-3,-1.483155710E-2
2.302300000E0,4.914690933E-1,8.388079687E-1,2.931276822E-4,1.306724832E-4,-4.276184477E-4,-2.704630608E-2
2.335666667E0,4.914762309E-1,8.388024412E-1,-3.926309244E-6,-6.982862936E-4,-8.146293170E-3,-1.013359313E-2
2.369033333E0,4.914688313E-1,8.387613697E-1,-2.914678424E-4,-7.273588390E-4,-4.660760511E-3,8.961330546E-3
2.402400000E0,4.914567802E-1,8.387539021E-1,-3.109267608E-4,7.675838992E-5,2.741446748E-3,1.501296596E-2
2.435766667E0,4.914480821E-1,8.387664920E-1,-1.062687795E-4,2.995542223E-4,-2.591236828E-3,4.348509357E-3
2.469133333E0,4.914496886E-1,8.387738924E-1,-3.850258255E-4,2.917920578E-4,-6.680377035E-4,-4.169348101E-3
2.502500000E0,4.914223880E-1,8.387859643E-1,-3.618627099E-4,9.110099646E-5,4.079168235E-3,-1.579448585E-3
2.535866667E0,4.914255403E-1,8.387799718E-1,8.133125962E-5,6.421793320E-5,5.299294401E-3,-1.035628409E-2
2.569233333E0,4.914278155E-1,8.387902498E-1,-5.899874612E-5,-3.917137341E-4,-5.279346001E-3,-2.332978471E-3
