Pendulum_Bob
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,6.253190652E-1,6.084265131E-1,,,,
3.336666667E-2,6.252895384E-1,6.084219094E-1,-2.287856348E-2,-2.523674357E-3,,
6.673333333E-2,6.237923024E-1,6.082580999E-1,-8.044461314E-2,-4.059340157E-2,-2.285659102E0,-1.331764974E0
1.001000000E-1,6.199212013E-1,6.057129764E-1,-1.741282098E-1,-9.812966380E-2,-2.101597402E0,-9.102097441E-1
1.334666667E-1,6.121721465E-1,6.017095803E-1,-2.322159845E-1,-1.046681836E-1,-1.664441193E0,-1.469726996E-1
1.668333333E-1,6.044246546E-1,5.987281196E-1,-2.713059960E-1,-9.905478652E-2,-2.376550501E0,-5.108532195E-1
2.002000000E-1,5.940669931E-1,5.950993242E-1,-3.905434440E-1,-1.393479141E-1,-4.141016833E0,-1.231326708E0
2.335666667E-1,5.783623887E-1,5.894289688E-1,-5.531688798E-1,-1.862504094E-1,-3.793313620E0,-3.900908629E-1
2.669333333E-1,5.571521898E-1,5.826702136E-1,-6.532920572E-1,-1.702808132E-1,-1.701197263E0,9.793401705E-1
3.003000000E-1,5.347660321E-1,5.780655625E-1,-6.613155033E-1,-1.129254631E-1,-5.687518870E-1,1.586132321E0
3.336666667E-1,5.130204019E-1,5.751343210E-1,-6.817032708E-1,-6.512586992E-2,-5.679853415E-1,1.731465730E0
3.670333333E-1,4.892737005E-1,5.737194961E-1,-7.094741547E-1,-4.605303129E-4,-5.314199438E-1,1.818538848E0
4.004000000E-1,4.656748266E-1,5.751035883E-1,-7.116261683E-1,6.203255109E-2,8.264990764E-1,1.669368249E0
4.337666667E-1,4.417845142E-1,5.778591351E-1,-6.633971017E-1,1.072922980E-1,2.037703422E0,1.125561787E0
4.671333333E-1,4.214041267E-1,5.822635610E-1,-5.663431305E-1,1.401102193E-1,2.544323503E0,7.285403017E-1
5.005000000E-1,4.039905493E-1,5.872091570E-1,-4.926009650E-1,1.538877016E-1,2.054529881E0,4.654293664E-1
5.338666667E-1,3.885312223E-1,5.925330003E-1,-4.317334706E-1,1.701214357E-1,2.473841708E0,8.893720915E-3
5.672333333E-1,3.751795357E-1,5.985619275E-1,-3.323577133E-1,1.596898678E-1,3.436525116E0,-8.976630870E-1
6.006000000E-1,3.663518842E-1,6.031896374E-1,-1.971726742E-1,1.072067609E-1,3.543230543E0,-1.499202231E0
6.339666667E-1,3.620215459E-1,6.057161920E-1,-9.176642430E-2,5.640602844E-2,2.687450849E0,-1.404475361E0
6.673333333E-1,3.602280049E-1,6.069537997E-1,-2.124096733E-2,1.553966004E-2,1.901449325E0,-1.342844326E0
7.007000000E-1,3.606040654E-1,6.067532053E-1,3.551812669E-2,-3.278063023E-2,2.486568353E0,-1.562081008E0
