Pendulum_Bob
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,4.151583618E-1,4.234496843E-2,,,,
3.336666667E-2,4.163576639E-1,4.240868386E-2,6.509798596E-2,3.981610932E-4,,
6.673333333E-2,4.195025674E-1,4.237153904E-2,9.294012388E-2,-9.565161717E-4,8.429470105E-1,-1.847638814E-2
1.001000000E-1,4.225598682E-1,4.234485235E-2,1.136627036E-1,-6.023484360E-4,6.773865497E-1,1.767987974E-2
1.334666667E-1,4.270876585E-1,4.233134232E-2,1.435115066E-1,1.745677725E-4,1.003408947E0,1.401278543E-2
1.668333333E-1,4.321368694E-1,4.235650184E-2,1.761601728E-1,5.056132646E-4,8.400447228E-1,3.403263731E-3
2.002000000E-1,4.388434140E-1,4.236508358E-2,2.049807027E-1,2.490809551E-4,5.910003981E-1,8.240455751E-3
2.335666667E-1,4.458159150E-1,4.237312384E-2,2.126623513E-1,9.827301140E-4,2.647800566E-1,3.640829631E-2
2.669333333E-1,4.530350816E-1,4.243066444E-2,2.222897956E-1,2.745903732E-3,5.269784003E-1,4.239906606E-2
3.003000000E-1,4.606500540E-1,4.255636715E-2,2.463990765E-1,3.969187380E-3,4.938641142E-1,8.206643127E-2
3.336666667E-1,4.694781133E-1,4.269554154E-2,2.602164067E-1,7.638836122E-3,2.342682277E-1,2.304904509E-1
3.670333333E-1,4.780151622E-1,4.306613215E-2,2.578979915E-1,1.916179664E-2,3.742403221E-2,2.273823845E-1
4.004000000E-1,4.866885059E-1,4.397427211E-2,2.634228479E-1,2.494366510E-2,1.931720737E-2,6.022142927E-3
4.337666667E-1,4.955942469E-1,4.473070607E-2,2.607671940E-1,1.837678126E-2,-1.186799379E-1,9.528319104E-2
4.671333333E-1,5.040903700E-1,4.520061598E-2,2.534238630E-1,2.836062586E-2,-3.463739706E-1,8.032717510E-2
5.005000000E-1,5.125060660E-1,4.662330516E-2,2.399392406E-1,3.020592477E-2,-4.673880760E-1,-6.551292533E-2
5.338666667E-1,5.201023153E-1,4.721635802E-2,2.199925830E-1,1.831916054E-2,-4.981509717E-1,-2.530257274E-2
5.672333333E-1,5.271869044E-1,4.784580381E-2,2.070177576E-1,2.900113968E-2,-5.081498006E-1,9.136886507E-2
6.006000000E-1,5.339173003E-1,4.915170074E-2,1.876670741E-1,2.872265611E-2,-4.628631760E-1,-1.231426882E-3
6.339666667E-1,5.397105538E-1,4.976256239E-2,1.729688587E-1,2.372167756E-2,-6.191466188E-1,-9.931718730E-3
6.673333333E-1,5.454600888E-1,5.073472736E-2,1.511865100E-1,3.084979428E-2,-9.049203133E-1,-9.362225445E-2
7.007000000E-1,5.497997336E-1,5.182127200E-2,1.095654401E-1,1.911190867E-2,-1.059802188E0,-3.102732900E-1
7.340666667E-1,5.527717559E-1,5.201012873E-2,7.905597223E-2,6.006486368E-3,-7.607639601E-1,-1.985594411E-1
7.674333333E-1,5.550754021E-1,5.222210486E-2,6.013535226E-2,7.690914208E-3,-7.446217168E-1,-1.019711658E-1
8.008000000E-1,5.567847884E-1,5.252336907E-2,3.112377147E-2,7.212117344E-4,-7.975995410E-1,-1.580394267E-1
8.341666667E-1,5.571523952E-1,5.227023372E-2,3.508893007E-3,-5.691114241E-3,-1.014622448E0,-1.335287839E-1
8.675333333E-1,5.570189485E-1,5.214358205E-2,-3.187587085E-2,-6.128076568E-3,-9.613850386E-1,4.721472611E-3
9.009000000E-1,5.550252120E-1,5.186128674E-2,-6.656621712E-2,-6.581580686E-3,-8.200501965E-1,-4.004953365E-2
9.342666667E-1,5.525767630E-1,5.170437123E-2,-8.316690629E-2,-7.527226547E-3,-8.740009847E-1,-2.393084285E-1
9.676333333E-1,5.494752072E-1,5.135896983E-2,-1.224939981E-1,-2.196743065E-2,-9.150539439E-1,-3.265194563E-1
1.001000000E0,5.444023301E-1,5.023841136E-2,-1.513685702E-1,-3.240111188E-2,-6.840904160E-1,-4.049853963E-2
1.034366667E0,5.393738779E-1,4.919673563E-2,-1.621063247E-1,-2.374117841E-2,-6.315056838E-1,3.016197091E-2
1.067733333E0,5.335844347E-1,4.865408339E-2,-1.939449699E-1,-2.690096686E-2,-7.036223962E-1,5.467936279E-2
1.101100000E0,5.264312836E-1,4.740154444E-2,-2.134096014E-1,-2.586719078E-2,-6.874819628E-1,-2.035092800E-1
1.134466667E0,5.193429007E-1,4.692787952E-2,-2.336029109E-1,-3.294849336E-2,-4.010906472E-1,3.688848207E-2
1.167833333E0,5.108421827E-1,4.520278165E-2,-2.474118841E-1,-3.308958165E-2,-1.752933608E-1,1.971723729E-1
1.201200000E0,5.028322809E-1,4.471970144E-2,-2.401611377E-1,-1.212944321E-2,-8.782119363E-2,1.762978671E-1
1.234566667E0,4.948154294E-1,4.439334347E-2,-2.525919815E-1,-2.162101282E-2,-2.611440121E-1,-2.010733247E-1
