Pivot
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,4.887156746E-1,8.398691284E-1,,,,
3.336666667E-2,4.887012921E-1,8.399083022E-1,-7.197178416E-4,8.757951313E-4,,
6.673333333E-2,4.886676454E-1,8.399275732E-1,-8.358693834E-4,7.350232633E-4,5.079318786E-3,2.312059671E-3
1.001000000E-1,4.886455118E-1,8.399573528E-1,-3.368666271E-4,1.089536089E-3,1.069818163E-2,9.033742389E-3
1.334666667E-1,4.886451652E-1,8.400002815E-1,-4.794467439E-5,1.361039010E-3,8.169274928E-3,-7.373866019E-3
1.668333333E-1,4.886423122E-1,8.400481794E-1,1.213718746E-4,6.961947506E-4,3.500470244E-3,-1.942392024E-2
2.002000000E-1,4.886532647E-1,8.400467409E-1,2.598909685E-4,-1.428091836E-4,-1.477823313E-3,-1.704681509E-2
2.335666667E-1,4.886596556E-1,8.400386493E-1,9.015040463E-7,-3.490460435E-4,-2.790736573E-3,-4.334632298E-3
2.669333333E-1,4.886533249E-1,8.400234479E-1,1.618280853E-6,-4.491851684E-4,2.720231539E-3,-2.644821160E-3
3.003000000E-1,4.886597636E-1,8.400086737E-1,2.554156737E-4,-5.002815410E-4,4.338812959E-3,-7.359870401E-4
3.336666667E-1,4.886703696E-1,8.399900625E-1,2.861921809E-4,-5.209088826E-4,3.258379377E-4,4.119732115E-3
3.670333333E-1,4.886788622E-1,8.399739117E-1,2.586067675E-4,-2.412889830E-4,1.704373198E-3,3.257728764E-3
4.004000000E-1,4.886876273E-1,8.399739605E-1,3.877557923E-4,-2.093092543E-4,-1.152638107E-3,-2.159777276E-3
4.337666667E-1,4.887047384E-1,8.399599438E-1,2.538344000E-4,-4.727875297E-4,-3.547192160E-3,-1.827744390E-3
4.671333333E-1,4.887045666E-1,8.399424098E-1,5.113654129E-5,-3.423878813E-4,-3.153979727E-3,2.163520363E-3
5.005000000E-1,4.887081509E-1,8.399370951E-1,9.781212659E-5,-2.549025598E-4,2.221000403E-3,-2.225468558E-4
5.338666667E-1,4.887110939E-1,8.399253993E-1,1.760183897E-4,-4.031935124E-4,-4.455007235E-4,2.551409677E-3
5.672333333E-1,4.887198972E-1,8.399101886E-1,1.157077952E-4,-1.322562234E-4,-1.254990854E-3,6.137633034E-3
6.006000000E-1,4.887188154E-1,8.399165734E-1,2.867288646E-5,1.169964813E-4,-4.689247989E-4,5.280897006E-3
6.339666667E-1,4.887218107E-1,8.399179962E-1,1.188735359E-4,1.389271351E-4,3.215624817E-3,1.559828158E-3
6.673333333E-1,4.887267483E-1,8.399258444E-1,2.309918624E-4,2.562197932E-4,5.299571772E-3,1.192799081E-2
7.007000000E-1,4.887372255E-1,8.399350946E-1,4.698302440E-4,8.459263814E-4,4.919608114E-4,1.270449967E-2
7.340666667E-1,4.887581016E-1,8.399822959E-1,3.376315851E-4,1.282406014E-3,-5.952995581E-3,2.680926494E-3
7.674333333E-1,4.887597568E-1,8.400206738E-1,-2.178773012E-5,9.363606529E-4,-5.401316082E-3,-9.069516276E-3
8.008000000E-1,4.887566476E-1,8.400447824E-1,-1.345728025E-5,6.459086569E-4,-9.130775624E-4,-7.357755602E-3
8.341666667E-1,4.887588588E-1,8.400637775E-1,-3.524160871E-5,4.684162283E-4,3.012722446E-3,-1.802580868E-3
8.675333333E-1,4.887542959E-1,8.400760414E-1,1.117061983E-4,4.902195535E-4,-1.295250025E-3,-3.764133362E-3
9.009000000E-1,4.887663133E-1,8.400964915E-1,1.335489337E-5,3.099572726E-4,-3.024363962E-3,-1.443007060E-2
9.342666667E-1,4.887551871E-1,8.400967259E-1,-2.382954163E-4,-5.038425241E-4,-3.303526269E-3,-1.154898555E-2
9.676333333E-1,4.887504110E-1,8.400628684E-1,-1.319647039E-4,-6.198409351E-4,3.802212275E-3,-4.424988577E-4
1.001000000E0,4.887463806E-1,8.400553618E-1,-1.069135581E-5,-3.322462823E-4,1.732579334E-3,9.207820137E-3
1.034366667E0,4.887496976E-1,8.400406965E-1,2.425361626E-5,-1.358181321E-4,-5.439672599E-4,-6.335307943E-4
1.067733333E0,4.887479992E-1,8.400462982E-1,-8.003214995E-5,-2.173879650E-4,-2.064872375E-3,-4.549657555E-3
1.101100000E0,4.887443568E-1,8.400261894E-1,-1.108829671E-4,-5.941163722E-4,-1.592907206E-3,-1.004457843E-2
1.134466667E0,4.887405996E-1,8.400066508E-1,-1.739048212E-4,-7.996356915E-4,-2.077598768E-4,-6.356742819E-3
1.167833333E0,4.887327515E-1,8.399728271E-1,-1.536651749E-4,-1.072328789E-3,1.055975540E-3,5.642040774E-4
1.201200000E0,4.887303450E-1,8.399350908E-1,-7.147406390E-5,-7.960058150E-4,1.648572057E-3,1.207851825E-2
1.234566667E0,4.887279818E-1,8.399197070E-1,-5.707733495E-5,-1.995675505E-4,-8.910318111E-4,9.831203444E-3
1.267933333E0,4.887265360E-1,8.399217730E-1,-1.166295019E-4,-9.120275505E-5,-2.516303526E-4,5.206926104E-3
1.301300000E0,4.887201987E-1,8.399136207E-1,-1.084199286E-4,2.791323514E-5,1.844002338E-4,1.031012440E-3
1.334666667E0,4.887193008E-1,8.399236357E-1,-6.510780028E-5,1.051180826E-4,1.287055076E-3,-1.159811721E-3
1.368033333E0,4.887158539E-1,8.399206356E-1,-5.236483810E-5,-1.373259835E-4,-3.951505886E-4,-8.749158187E-4
1.401400000E0,4.887158063E-1,8.399144715E-1,-6.271162016E-5,3.032413589E-5,-1.082831255E-3,4.098509379E-3
1.434766667E0,4.887116689E-1,8.399226592E-1,-1.462362324E-4,2.095240235E-4,-1.574047989E-3,6.956339875E-3
1.468133333E0,4.887060475E-1,8.399284537E-1,-1.657421392E-4,4.185851454E-4,9.409636741E-4,1.801070510E-3
1.501500000E0,4.887006084E-1,8.399505928E-1,-8.992551506E-5,4.371533630E-4,5.436604993E-5,8.938559979E-4
1.534866667E0,4.887000464E-1,8.399576264E-1,-1.260255830E-4,3.576011651E-4,-4.262639879E-3,-5.437778014E-3
1.568233333E0,4.886921983E-1,8.399744567E-1,-3.934202279E-4,1.930340646E-4,-4.515379110E-3,-1.496091108E-3
1.601600000E0,4.886737922E-1,8.399705082E-1,-4.687913514E-4,1.145567388E-4,4.009215286E-3,5.584542454E-3
1.634966667E0,4.886609143E-1,8.399821015E-1,-1.178957705E-4,6.355713162E-4,4.736311752E-3,8.948525518E-3
1.668333333E0,4.886659246E-1,8.400129220E-1,-5.820211867E-5,7.811368366E-4,2.948260568E-3,1.114801203E-3
1.701700000E0,4.886570303E-1,8.400342293E-1,-4.992319194E-5,6.293883980E-4,-1.595870927E-3,-6.900832173E-3
1.735066667E0,4.886625931E-1,8.400549232E-1,-4.306694872E-5,3.735895437E-4,1.873202314E-3,-3.481007661E-3
1.768433333E0,4.886541563E-1,8.400591602E-1,-4.543639838E-5,3.028233327E-4,3.000077314E-3,-2.642693799E-3
1.801800000E0,4.886595610E-1,8.400751316E-1,2.358204525E-4,3.071983691E-4,1.059993727E-3,-3.528129968E-3
1.835166667E0,4.886698933E-1,8.400796606E-1,5.337894071E-5,1.107734110E-5,-4.524137333E-3,-9.082526452E-3
1.868533333E0,4.886631231E-1,8.400758708E-1,-1.564927612E-4,-2.854733994E-4,-1.731382270E-3,-6.263088518E-3
1.901900000E0,4.886594501E-1,8.400606100E-1,-2.451391205E-5,-4.405822948E-4,3.058630372E-3,-2.156174627E-3
1.935266667E0,4.886614872E-1,8.400464693E-1,6.488974484E-5,-4.029830184E-4,-2.959020949E-3,5.908387464E-4
1.968633333E0,4.886637804E-1,8.400337176E-1,-1.953782294E-4,-3.956756086E-4,2.046204842E-3,1.893625523E-3
2.002000000E0,4.886484490E-1,8.400200646E-1,5.231922124E-5,-2.991639903E-4,5.850847831E-3,1.183037654E-3
2.035366667E0,4.886672718E-1,8.400137534E-1,4.021630868E-4,-2.715873369E-4,2.894775745E-3,-1.143275661E-3
2.068733333E0,4.886752867E-1,8.400019406E-1,1.403713745E-4,-4.071421663E-4,-3.130952884E-3,-6.306184040E-3
2.102100000E0,4.886766392E-1,8.399865834E-1,1.694243007E-4,-6.663729433E-4,1.950970721E-3,-4.471093556E-3
2.135466667E0,4.886865929E-1,8.399574714E-1,3.187354986E-4,-7.712751494E-4,1.920638465E-3,1.823636367E-3
2.168833333E0,4.886979095E-1,8.399351137E-1,2.917854886E-4,-5.092805009E-4,-1.522407995E-3,5.178453492E-3
2.202200000E0,4.887060647E-1,8.399234854E-1,2.061526466E-4,-3.885065705E-4,-1.808873563E-3,3.865955017E-3
2.235566667E0,4.887116668E-1,8.399091873E-1,1.670328373E-4,-3.035440277E-4,-1.532220030E-3,2.416870966E-3
2.268933333E0,4.887172114E-1,8.399032289E-1,1.162533699E-4,-1.848970918E-4,-1.181189016E-3,3.267581043E-3
2.302300000E0,4.887194248E-1,8.398968485E-1,7.310190379E-5,-1.159054116E-4,8.877410668E-5,5.873433407E-3
2.335666667E0,4.887220897E-1,8.398954941E-1,1.248206431E-4,1.957192009E-4,2.741469817E-3,8.876214616E-3
2.369033333E0,4.887277545E-1,8.399099095E-1,2.556566600E-4,5.205471327E-4,4.337939507E-3,3.957893976E-3
2.402400000E0,4.887391505E-1,8.399302320E-1,4.210624048E-4,4.710856133E-4,1.849953565E-3,5.921332572E-3
2.435766667E0,4.887558534E-1,8.399413466E-1,4.034391603E-4,7.973144641E-4,-2.353717736E-3,7.472833587E-3
2.469133333E0,4.887660734E-1,8.399834394E-1,2.350526527E-4,1.139540393E-3,-6.053396046E-3,-2.391779498E-3
2.502500000E0,4.887715392E-1,8.400173920E-1,1.435027307E-5,5.966638656E-4,-6.150346636E-3,-7.535282279E-3
2.535866667E0,4.887670310E-1,8.400232568E-1,-1.988065246E-4,4.890950455E-4,-2.216369479E-3,-5.355533612E-3
2.569233333E0,4.887582722E-1,8.400500309E-1,-1.469154470E-4,4.406085784E-4,-2.983782711E-3,-5.375262348E-3
2.602600000E0,4.887572269E-1,8.400526601E-1,-3.152408191E-4,-5.681961653E-6,3.978660284E-3,-9.314456986E-3
2.635966667E0,4.887372351E-1,8.400496517E-1,-5.655127895E-5,-1.455168792E-4,3.326069633E-3,-6.322403993E-5
2.669333333E0,4.887534530E-1,8.400429492E-1,1.502751374E-4,-3.705238737E-5,4.302734199E-3,6.169817772E-3
2.702700000E0,4.887472635E-1,8.400471791E-1,2.680454324E-5,2.966599781E-4,-5.913347946E-3,3.095980355E-3
2.736066667E0,4.887552418E-1,8.400627463E-1,-8.886240284E-5,2.286723337E-4,-3.275580658E-3,-1.034551637E-2
2.769433333E0,4.887413334E-1,8.400624392E-1,-3.284482456E-4,-4.263710558E-4,5.548619687E-4,-6.433012021E-3
2.802800000E0,4.887333233E-1,8.400342932E-1,-1.226983419E-5,-3.555445642E-4,2.699479051E-3,-8.996259954E-4
2.836166667E0,4.887405146E-1,8.400387125E-1,-5.692521250E-5,-2.349058669E-4,7.417672417E-4,3.387575171E-3
2.869533333E0,4.887295245E-1,8.400186171E-1,-1.051804500E-4,-3.414149055E-4,-5.169480981E-4,-1.788088574E-3
2.902900000E0,4.887334955E-1,8.400159287E-1,2.498534904E-5,-2.088933567E-4,1.441890472E-3,-5.215804627E-4
2.936266667E0,4.887311919E-1,8.400046770E-1,-6.799918521E-5,-4.360320658E-4,-1.949550389E-3,-8.129317264E-3
2.969633333E0,4.887289577E-1,8.399868309E-1,-8.833129149E-5,-7.329858874E-4,3.336607193E-4,-2.829004679E-3
3.003000000E0,4.887252972E-1,8.399557624E-1,-5.920308878E-5,-7.002911280E-4,-1.842578894E-3,4.500664309E-3
3.036366667E0,4.887250069E-1,8.399400981E-1,-1.706715337E-4,-3.547684536E-4,-1.114918155E-3,7.061072936E-3
3.069733333E0,4.887139077E-1,8.399320875E-1,-2.052902509E-4,-2.306381173E-4,-6.863840178E-5,5.910004432E-3
3.103100000E0,4.887113072E-1,8.399247069E-1,-1.110035701E-4,-4.953470220E-6,2.031466395E-3,7.181338716E-3
