Pivot
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,4.889675793E-1,8.405148335E-1,,,,
3.336666667E-2,4.889661793E-1,8.405436834E-1,-2.052469172E-4,3.394746863E-4,,
6.673333333E-2,4.889538825E-1,8.405374878E-1,-4.452402492E-4,1.966071235E-4,6.473455172E-4,-3.536923194E-3
1.001000000E-1,4.889364670E-1,8.405568037E-1,-2.057993908E-4,3.240936320E-4,2.603875563E-4,7.177774604E-3
1.334666667E-1,4.889401488E-1,8.405591156E-1,-2.719632993E-4,4.883268140E-4,-4.336766573E-3,1.291699310E-2
1.668333333E-1,4.889183179E-1,8.405893914E-1,-6.501848598E-4,1.287857510E-3,8.883515230E-4,-2.642972302E-3
2.002000000E-1,4.888967598E-1,8.406450586E-1,-2.180473127E-4,5.242454816E-4,1.051970851E-2,-1.735099893E-2
2.335666667E-1,4.889037669E-1,8.406243760E-1,1.781035658E-4,-2.973484752E-4,1.271455309E-2,-8.169943564E-3
2.669333333E-1,4.889086453E-1,8.406252156E-1,5.084269596E-4,2.084441214E-4,1.771773194E-3,1.403166715E-2
3.003000000E-1,4.889376959E-1,8.406382862E-1,4.626717261E-4,6.136249933E-4,-2.272335203E-3,-2.832970669E-3
3.336666667E-1,4.889395209E-1,8.406661648E-1,1.717525325E-4,1.539716411E-4,-8.853515324E-3,-2.718069787E-3
3.670333333E-1,4.889491576E-1,8.406485612E-1,4.229601049E-6,1.141362935E-4,-6.696603476E-3,-1.223819770E-2
4.004000000E-1,4.889398031E-1,8.406737815E-1,-3.615641618E-4,-2.397787184E-4,-5.811611320E-4,1.614930487E-4
4.337666667E-1,4.889250292E-1,8.406325600E-1,-7.031139120E-5,-3.742497652E-4,-3.194241404E-5,8.833456640E-3
4.671333333E-1,4.889351110E-1,8.406488066E-1,-1.771969221E-4,7.066019208E-4,3.533548961E-3,6.916955112E-3
5.005000000E-1,4.889132042E-1,8.406797139E-1,-1.036567540E-4,1.394882315E-4,5.555733210E-3,-1.878368916E-2
5.338666667E-1,4.889281937E-1,8.406581151E-1,4.236568595E-4,-7.836112997E-4,5.021437574E-3,-8.398556030E-3
5.672333333E-1,4.889414763E-1,8.406274209E-1,1.767649018E-4,-4.190649142E-4,-5.113848541E-3,6.668033792E-3
6.006000000E-1,4.889399898E-1,8.406301495E-1,1.439319448E-5,-1.438330390E-4,1.743912695E-3,-9.536920473E-4
6.339666667E-1,4.889424368E-1,8.406178224E-1,3.080665426E-4,-5.875572989E-4,4.751414399E-3,-5.085107475E-3
6.673333333E-1,4.889605481E-1,8.405909398E-1,4.092012023E-4,-5.498183530E-4,-7.665158335E-4,3.065040236E-3
7.007000000E-1,4.889697441E-1,8.405811312E-1,1.965107333E-4,-2.806576048E-4,-2.610270934E-3,1.298098795E-2
7.340666667E-1,4.889736619E-1,8.405722106E-1,2.172355697E-4,2.148166560E-4,-6.852459634E-4,6.687951739E-3
7.674333333E-1,4.889842410E-1,8.405954667E-1,2.064080600E-4,3.509466865E-4,3.910284954E-3,5.955823142E-3
8.008000000E-1,4.889874362E-1,8.405956305E-1,3.902398900E-4,3.895684682E-4,1.108360972E-2,5.568882574E-3
8.341666667E-1,4.890102830E-1,8.406214639E-1,1.000838155E-3,8.684525398E-4,1.545287152E-3,4.283146671E-3
8.675333333E-1,4.890542255E-1,8.406535852E-1,6.385312643E-4,6.867810584E-4,-1.283082089E-2,-6.114027130E-3
9.009000000E-1,4.890528943E-1,8.406672951E-1,-8.758778905E-5,3.734960475E-4,-8.900970374E-3,-1.824720038E-3
9.342666667E-1,4.890483804E-1,8.406785098E-1,9.494216978E-5,5.615383668E-4,5.595006415E-4,3.017475793E-3
9.676333333E-1,4.890592301E-1,8.407047684E-1,6.019396476E-5,6.624068951E-4,-6.688525998E-3,-6.394199455E-3
1.001000000E0,4.890523974E-1,8.407227145E-1,-4.280976921E-4,1.258892608E-4,-8.186286909E-3,-1.295021708E-2
1.034366667E0,4.890306617E-1,8.407131694E-1,-5.294771188E-4,-2.997555382E-4,-6.785771545E-4,-3.233384698E-3
1.067733333E0,4.890170636E-1,8.407027108E-1,-4.067505094E-4,-6.975818589E-5,4.492081853E-3,1.770466116E-3
1.101100000E0,4.890035179E-1,8.407085142E-1,-2.667841017E-4,-7.453166956E-5,3.715793720E-3,-7.090094620E-3
1.134466667E0,4.889992602E-1,8.406977370E-1,-1.201887881E-4,-6.079907708E-4,2.375952582E-3,-6.101088395E-3
1.167833333E0,4.889954973E-1,8.406679409E-1,-1.243409466E-4,-5.732837968E-4,-7.348195766E-5,-2.697716856E-3
1.201200000E0,4.889909625E-1,8.406594799E-1,-1.302629252E-4,-6.056620599E-4,5.506491185E-4,1.269881712E-3
1.234566667E0,4.889868044E-1,8.406275231E-1,-8.936521304E-5,-6.751753131E-4,1.809488393E-3,3.052091593E-3
1.267933333E0,4.889849989E-1,8.406144232E-1,-6.977439834E-6,-2.861599456E-4,1.133035326E-3,6.722916902E-4
1.301300000E0,4.889863388E-1,8.406084267E-1,3.620523676E-7,-5.826967964E-4,-2.010356167E-3,-2.765985572E-3
1.334666667E0,4.889850231E-1,8.405755379E-1,-1.442631853E-4,-6.491611630E-4,-1.436936588E-3,-8.313367289E-4
1.368033333E0,4.889767117E-1,8.405651060E-1,-1.359579905E-4,-4.629814070E-4,1.302733592E-4,4.824821180E-3
1.401400000E0,4.889759501E-1,8.405446416E-1,-8.008878873E-5,-4.426004615E-4,-1.185112979E-3,9.360247108E-4
1.434766667E0,4.889713671E-1,8.405355698E-1,-2.337916296E-4,-3.229662428E-4,-5.974747654E-4,6.423753386E-3
1.468133333E0,4.889603484E-1,8.405230890E-1,-1.631948394E-4,-9.304880698E-5,-2.028948727E-5,7.792934993E-3
1.501500000E0,4.889604765E-1,8.405293603E-1,-1.514594681E-4,2.725769495E-4,-1.809208744E-3,6.562165768E-3
1.534866667E0,4.889502410E-1,8.405412790E-1,-3.464867661E-4,3.324391375E-4,-7.800073219E-6,-1.347052787E-3
1.568233333E0,4.889373543E-1,8.405515451E-1,-1.717793636E-4,1.815392378E-4,-1.958264917E-3,4.677914445E-3
1.601600000E0,4.889387776E-1,8.405533937E-1,-3.536149810E-4,5.425214630E-4,-2.716282295E-4,1.902415742E-2
1.634966667E0,4.889137564E-1,8.405877494E-1,-3.857761348E-4,1.535951505E-3,5.981031947E-3,1.135528211E-2
1.668333333E0,4.889130335E-1,8.406558928E-1,1.776828120E-4,1.458730324E-3,5.201573268E-3,-4.622337180E-3
1.701700000E0,4.889256138E-1,8.406850953E-1,1.762650183E-5,9.742799296E-4,-3.082591020E-3,-4.273883216E-3
1.735066667E0,4.889142098E-1,8.407209098E-1,-1.820170746E-4,1.258711566E-3,4.622239753E-3,-5.712919654E-3
1.768433333E0,4.889134672E-1,8.407690933E-1,3.674072558E-4,7.333684414E-4,4.704818357E-3,-1.530805968E-2
1.801800000E0,4.889387281E-1,8.407698499E-1,2.875368048E-4,9.501473464E-6,-5.429291947E-3,-1.076407398E-2
1.835166667E0,4.889326555E-1,8.407697274E-1,-1.843850694E-4,9.824971190E-5,-5.019339509E-3,-1.082293152E-2
1.868533333E0,4.889264235E-1,8.407764064E-1,-6.744812176E-6,-5.715069072E-4,3.533950852E-3,-9.251428918E-3
1.901900000E0,4.889322054E-1,8.407315888E-1,1.119823568E-4,-8.277955803E-4,3.243629969E-4,3.067403822E-3
1.935266667E0,4.889338964E-1,8.407211649E-1,-1.845527778E-5,-1.347014837E-4,3.851181133E-3,8.856938441E-3
1.968633333E0,4.889309738E-1,8.407225998E-1,3.022909861E-4,-2.217717369E-4,2.511634313E-3,-1.256103564E-2
2.002000000E0,4.889540693E-1,8.407063653E-1,3.231446234E-4,-1.000548863E-3,-3.091181984E-3,-7.083176029E-3
2.035366667E0,4.889525383E-1,8.406558298E-1,-6.272285088E-5,-8.923711805E-4,-5.443167275E-3,5.133947492E-3
2.068733333E0,4.889498836E-1,8.406468144E-1,-3.110153932E-6,-3.896792809E-4,4.577797493E-3,5.932643688E-3
2.102100000E0,4.889523307E-1,8.406298252E-1,2.428078911E-4,-6.056981090E-4,3.127403563E-3,1.482937941E-3
2.135466667E0,4.889660870E-1,8.406063941E-1,2.642376583E-4,-3.513535958E-4,3.821102756E-4,3.621771798E-3
2.168833333E0,4.889699642E-1,8.406063782E-1,1.911013247E-4,-2.187790281E-4,2.608319416E-3,7.701006629E-3
