Pendulum_Bob
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,1.894817370E2,2.424551258E2,,,,
3.336666667E-2,1.943482223E2,2.416917064E2,1.506679455E2,-1.579411686E1,,
6.673333333E-2,1.995363112E2,2.414011318E2,1.591596016E2,-7.951759535E0,1.857221079E2,2.854163392E2
1.001000000E-1,2.049694731E2,2.411610590E2,1.633487803E2,1.250204545E0,-1.023133290E2,1.513573801E2
1.334666667E-1,2.104371198E2,2.414845621E2,1.534437337E2,5.108846523E0,-2.336754192E2,1.782990491E2
1.668333333E-1,2.152092849E2,2.415019893E2,1.444931819E2,9.368107806E0,-1.776706002E2,1.679528839E2
2.002000000E-1,2.200796315E2,2.421097271E2,1.438048766E2,1.933880136E1,-3.073845231E2,1.789446693E2
2.335666667E-1,2.248058637E2,2.427925320E2,1.254647093E2,2.037942604E1,-6.495529227E2,3.315168104E1
2.669333333E-1,2.284523098E2,2.434697142E2,9.778609317E1,2.123245486E1,-8.058811029E2,-7.646116047E1
3.003000000E-1,2.313314556E2,2.442094445E2,7.265896617E1,1.638337427E1,-5.906229369E2,-7.591112998E1
3.336666667E-1,2.333010848E2,2.445630313E2,5.648407440E1,1.390669434E1,-5.354075312E2,-7.098019194E1
3.670333333E-1,2.351008262E2,2.451374846E2,4.012274331E1,1.389356571E1,-6.020234343E2,-1.051053014E2
4.004000000E-1,2.359786092E2,2.454901953E2,1.442314193E1,6.108013151E0,-7.689560280E2,-2.003695423E2
4.337666667E-1,2.360633305E2,2.455450926E2,-1.071990068E1,-3.771462351E-2,-7.291249125E2,-2.001128337E2
4.671333333E-1,2.352632345E2,2.454876785E2,-3.478117830E1,-6.418403808E0,-8.849476592E2,-2.203282414E2
5.005000000E-1,2.337422666E2,2.451167712E2,-6.779460684E1,-1.525189737E1,-9.476165927E2,-2.056967280E2
5.338666667E-1,2.307390744E2,2.444698685E2,-1.012196674E2,-2.049727585E1,-8.445971383E2,-1.881486449E2
5.672333333E-1,2.269875408E2,2.437489196E2,-1.227189948E2,-2.679300230E1,-4.481148132E2,6.352840880E1
6.006000000E-1,2.225496268E2,2.426818822E2,-1.325285485E2,-1.938081743E1,-2.927243295E2,9.586890135E1
6.339666667E-1,2.181434690E2,2.424555731E2,-1.395737228E2,-1.489589368E1,-1.769565308E2,1.534774108E2
6.673333333E-1,2.132354070E2,2.416878295E2,-1.466218559E2,-1.447571743E1,-1.811138689E2,1.328183431E2
7.007000000E-1,2.083589038E2,2.414895602E2,-1.499128093E2,-2.873619324E0,-1.791813052E2,2.242439023E2
7.340666667E-1,2.032312255E2,2.414960633E2,-1.589664818E2,1.525168816E-1,1.186924352E2,2.168254663E2
7.674333333E-1,1.977505406E2,2.414997382E2,-1.456270656E2,9.765990019E0,4.244434325E2,1.873841855E2
8.008000000E-1,1.935130460E2,2.421477804E2,-1.248679089E2,1.592211936E1,5.262540710E2,1.351328116E2
8.341666667E-1,1.894176888E2,2.425622743E2,-1.138332484E2,1.590675720E1,3.066078166E2,6.354758188E0
8.675333333E-1,1.859165739E2,2.432092913E2,-1.025122021E2,1.803536611E1,4.266190570E2,2.386631260E1
9.009000000E-1,1.825767078E2,2.437658344E2,-8.771409284E1,1.662247360E1,6.351701856E2,-8.882362224E1
9.342666667E-1,1.800631201E2,2.443185644E2,-5.923265954E1,1.282023789E1,7.380293072E2,-1.187936386E2
9.676333333E-1,1.786239150E2,2.446213716E2,-3.656951173E1,7.813366076E0,6.185978552E2,-1.765531939E2
1.001000000E0,1.776227147E2,2.448399764E2,-1.982994569E1,1.880115711E0,5.424807277E2,-1.717619283E2
1.034366667E0,1.773005966E2,2.447468380E2,1.948710256E-1,-4.551837440E0,7.042325094E2,-1.480949347E2
1.067733333E0,1.776357191E2,2.445362171E2,2.621574368E1,-7.647632677E0,9.489152311E2,-1.353143749E2
1.101100000E0,1.790500606E2,2.442364859E2,6.368966980E1,-1.312072861E1,1.017943821E3,-2.297687828E2
1.134466667E0,1.818859431E2,2.436606271E2,9.630608612E1,-2.313310353E1,7.108385729E2,-9.219929442E1
1.167833333E0,1.854768868E2,2.426927368E2,1.108540208E2,-2.144169786E1,3.984602033E2,5.853543100E1
1.201200000E0,1.892836014E2,2.422297511E2,1.211895068E2,-1.593212053E1,3.557785495E2,1.436219823E2
1.234566667E0,1.935642665E2,2.416295333E2,1.351796009E2,-1.408358390E1,3.769290596E2,8.941524314E1
1.267933333E0,1.983045867E2,2.412899066E2,1.466429922E2,-8.758534191E0,1.980553133E2,2.094557892E2
1.301300000E0,2.033502422E2,2.410450471E2,1.490321070E2,-1.143067689E0,4.357608121E1,1.841749938E2
1.334666667E0,2.082499960E2,2.412136259E2,1.480943034E2,5.093440322E0,-1.400079467E2,1.257069687E2
1.368033333E0,2.132330687E2,2.413849494E2,1.414810767E2,6.217736063E0,-1.922786543E2,1.240206605E2
1.401400000E0,2.176914999E2,2.416285562E2,1.329359519E2,1.287679692E1,-2.975160881E2,1.486205681E2
1.434766667E0,2.221043279E2,2.422442610E2,1.237669344E2,1.768388564E1,-3.665036541E2,9.309970210E1
1.468133333E0,2.259508800E2,2.428086608E2,1.072923660E2,1.792864115E1,-6.025918025E2,-3.794710499E1
1.501500000E0,2.292643051E2,2.434406989E2,8.458613728E1,1.597487123E1,-6.619000543E2,-7.339193171E1
1.534866667E0,2.315955949E2,2.438747172E2,6.128426179E1,1.215949868E1,-6.624078690E2,-1.174602678E2
1.568233333E0,2.333540082E2,2.442521428E2,4.161475692E1,8.692149410E0,-6.784687590E2,-1.338317357E2
1.601600000E0,2.343726863E2,2.444547733E2,1.612486861E1,3.035186957E0,-7.696748184E2,-1.517841697E2
1.634966667E0,2.344300744E2,2.444546910E2,-1.053031111E1,-1.689608837E0,-7.027342246E2,-1.063130101E2
1.668333333E0,2.336699635E2,2.443420201E2,-3.103407126E1,-4.016177183E0,-6.262860010E2,-9.334427622E1
1.701700000E0,2.323590674E2,2.441866781E2,-5.122695733E1,-7.459850582E0,-4.875779899E2,-5.421361311E1
1.735066667E0,2.302514179E2,2.438441994E2,-6.547424295E1,-8.583923226E0,-5.974690067E2,-1.563448203E2
1.768433333E0,2.279897529E2,2.436138443E2,-8.726813099E1,-1.574899872E1,-6.488268782E2,-9.323769458E1
1.801800000E0,2.244277247E2,2.427932162E2,-1.131033072E2,-1.845085185E1,-7.465589884E2,-9.502172108E1
1.835166667E0,2.204419922E2,2.423825574E2,-1.340355612E2,-1.822577771E1,-4.133449994E2,8.654974830E1
1.868533333E0,2.154830849E2,2.415769493E2,-1.445307310E2,-1.635622840E1,-2.559768617E2,1.672811575E2
1.901900000E0,2.107969748E2,2.412910518E2,-1.469385413E2,-4.564016861E0,-1.075007581E2,2.710149310E2
1.935266667E0,2.056773862E2,2.412723773E2,-1.540557201E2,1.470955625E0,-7.764593477E1,1.288444283E2
1.968633333E0,2.005163230E2,2.413892136E2,-1.517831656E2,3.974739775E0,3.781780870E2,1.308054068E2
2.002000000E0,1.955483896E2,2.415376249E2,-1.305262453E2,9.345477685E0,5.037187398E2,1.718165092E2
2.035366667E0,1.918058716E2,2.420128684E2,-1.131887547E2,1.645618472E1,4.167248454E2,1.458951492E2
2.068733333E0,1.879949267E2,2.426358010E2,-1.067056759E2,1.897109951E1,3.148044795E2,1.246606937E1
2.102100000E0,1.846850462E2,2.432788731E2,-9.105256822E1,1.733499578E1,4.513934497E2,-6.101117521E1
2.135466667E0,1.819186853E2,2.437926230E2,-7.627573441E1,1.443960695E1,5.732598084E2,-1.029530540E2
2.168833333E0,1.795949122E2,2.442424762E2,-5.426288129E1,1.084464931E1,7.377162288E2,-1.413553386E2
2.202200000E0,1.782975424E2,2.445163226E2,-2.550891900E1,4.866900372E0,6.754692641E2,-1.572136042E2
2.235566667E0,1.778926170E2,2.445672607E2,-8.134459316E0,-5.456763909E-3,6.926009061E2,-1.530871546E2
2.268933333E0,1.777547028E2,2.445159585E2,1.693378622E1,-4.838150596E0,9.530833279E2,-1.904077304E2
2.302300000E0,1.790226650E2,2.442443948E2,5.805120346E1,-1.277399154E1,9.546712415E2,-1.833434650E2
2.335666667E0,1.816286531E2,2.436635074E2,8.270380096E1,-1.786149151E1,6.896888003E2,-8.769348296E1
2.369033333E0,1.845417653E2,2.430524379E2,1.006244109E2,-1.812069973E1,4.816202639E2,-2.517923206E0
2.402400000E0,1.883436555E2,2.424542527E2,1.174855869E2,-1.791198179E1,3.322638015E2,4.538306770E1
2.435766667E0,1.923819701E2,2.418571117E2,1.217972600E2,-1.546288325E1,2.384920459E2,8.321839397E1
2.469133333E0,1.964715926E2,2.414223630E2,1.317959596E2,-1.183599532E1,2.222884597E2,1.799707243E2
2.502500000E0,2.011771538E2,2.410672563E2,1.393919788E2,-4.357374493E0,1.272965453E2,2.232534707E2
2.535866667E0,2.057736840E2,2.411315809E2,1.384121014E2,4.342739123E0,-9.551804660E1,1.445535555E2
2.569233333E0,2.104138547E2,2.413570617E2,1.341414978E2,5.290813146E0,-1.765560214E2,5.616597391E1
2.602600000E0,2.147253933E2,2.414846545E2,1.256404224E2,6.888936348E0,-2.625225827E2,1.060832348E2
