Pendulum_Bob
t,x,y,v_{x},v_{y},a_{x},a_{y}
0.000000000E0,6.157259827E-1,3.151190214E-1,,,,
3.336666667E-2,6.059520267E-1,3.127814983E-1,-3.493747087E-1,-8.004241601E-2,,
6.673333333E-2,5.924110438E-1,3.097775242E-1,-4.552525955E-1,-9.863319431E-2,-2.026715298E0,-1.756767857E-1
1.001000000E-1,5.755715035E-1,3.061993764E-1,-4.924324590E-1,-9.460247713E-2,-1.284451734E0,2.348558620E-1
1.334666667E-1,5.595493843E-1,3.034643856E-1,-5.241293386E-1,-7.860220970E-2,-1.266625193E0,5.886566656E-1
1.668333333E-1,5.405946056E-1,3.009539890E-1,-5.883657893E-1,-5.854705902E-2,-7.765850024E-1,5.809326504E-1
2.002000000E-1,5.202857740E-1,2.995573452E-1,-5.796206823E-1,-3.633578299E-2,-9.898746926E-2,6.203314969E-1
2.335666667E-1,5.019145854E-1,2.985291811E-1,-5.796280281E-1,-1.956403205E-2,-4.040958019E-1,5.810785088E-1
2.669333333E-1,4.816052636E-1,2.982517721E-1,-6.174343380E-1,3.789342938E-3,1.759180427E-1,7.379770760E-1
3.003000000E-1,4.606907163E-1,2.987833976E-1,-5.738905373E-1,2.958937594E-2,7.484953959E-1,5.026378280E-1
3.336666667E-1,4.433076351E-1,3.002263698E-1,-5.476534773E-1,3.992233383E-2,6.957265294E-1,4.636140822E-1
3.670333333E-1,4.241439742E-1,3.014475480E-1,-5.466069125E-1,5.499878145E-2,1.151153846E0,2.959726492E-1
4.004000000E-1,4.068307338E-1,3.038966218E-1,-4.668669114E-1,6.645072748E-2,2.223886739E0,1.855319216E-1
4.337666667E-1,3.930081097E-1,3.058789541E-1,-3.906290467E-1,6.259736456E-2,1.827677980E0,-3.185925137E-2
4.671333333E-1,3.807627554E-1,3.080739526E-1,-3.484065318E-1,6.602528921E-2,2.092760210E0,4.926529913E-2
5.005000000E-1,3.697577805E-1,3.102850417E-1,-2.591357387E-1,6.559460691E-2,2.588351701E0,-4.155885121E-1
5.338666667E-1,3.634697638E-1,3.124512994E-1,-1.619265169E-1,4.142248277E-2,2.238514627E0,-7.565391024E-1
5.672333333E-1,3.589518842E-1,3.130493021E-1,-1.151623730E-1,9.668866330E-3,2.084206857E0,-6.070110218E-1
6.006000000E-1,3.557845947E-1,3.130965350E-1,-3.010689866E-2,1.851450800E-3,2.949905989E0,-2.847961225E-1
6.339666667E-1,3.569427505E-1,3.131728556E-1,8.949598520E-2,-6.742914960E-3,2.604182998E0,-5.920952571E-1
6.673333333E-1,3.617569602E-1,3.126465578E-1,1.495875296E-1,-3.747694411E-2,2.126611905E0,-6.966754879E-1
7.007000000E-1,3.669092870E-1,3.106878998E-1,2.163422659E-1,-5.766220896E-2,2.408991423E0,-5.111035504E-1
7.340666667E-1,3.761850901E-1,3.087656856E-1,3.211726194E-1,-6.678347177E-2,2.367726202E0,-2.397209798E-1
7.674333333E-1,3.883330751E-1,3.062282516E-1,3.759810668E-1,-7.676217542E-2,1.838515428E0,-6.799046445E-2
8.008000000E-1,4.012755600E-1,3.036430898E-1,4.343425632E-1,-7.115557210E-2,1.906694856E0,1.211761700E-1
8.341666667E-1,4.173182022E-1,3.014798031E-1,5.105441090E-1,-6.652559420E-2,1.585841442E0,4.619857699E-1
8.675333333E-1,4.353458702E-1,2.992036151E-1,5.418153092E-1,-4.502536676E-2,1.022113704E0,6.588732506E-1
9.009000000E-1,4.534753438E-1,2.984751103E-1,5.709898107E-1,-1.645685951E-2,9.909078185E-1,6.764568727E-1
9.342666667E-1,4.734499236E-1,2.981053940E-1,6.135005400E-1,-2.837696370E-3,3.943982761E-1,3.382235220E-1
9.676333333E-1,4.944162798E-1,2.982857413E-1,6.015384501E-1,7.116831414E-3,-5.343712918E-1,4.007801848E-1
1.001000000E0,5.135925895E-1,2.985803239E-1,5.688857717E-1,2.142043507E-2,-4.393338606E-1,5.144281600E-1
1.034366667E0,5.323799237E-1,2.997151984E-1,5.729706125E-1,4.345104240E-2,-5.288781812E-1,5.475186553E-1
1.067733333E0,5.518288283E-1,3.014799568E-1,5.429605149E-1,5.811037221E-2,-9.035127148E-1,6.037905708E-1
1.101100000E0,5.686134887E-1,3.035930972E-1,5.002511288E-1,8.131763473E-2,-1.391957075E0,5.516438943E-1
1.134466667E0,5.852122537E-1,3.069065536E-1,4.602889987E-1,9.931515528E-2,-1.856739009E0,1.964265987E-1
1.167833333E0,5.993301079E-1,3.102207286E-1,3.732448011E-1,9.279269480E-2,-2.478052607E0,-3.778127453E-1
1.201200000E0,6.101201234E-1,3.130989195E-1,2.906575205E-1,7.398742556E-2,-1.982623501E0,-3.974104516E-1
1.234566667E0,6.187266531E-1,3.151581561E-1,2.411163266E-1,6.345121540E-2,-1.985725755E0,-4.063192397E-1
1.267933333E0,6.262106196E-1,3.173332306E-1,1.662968711E-1,5.112968366E-2,-2.537424705E0,-7.431565441E-1
1.301300000E0,6.298241976E-1,3.185702103E-1,6.395295432E-2,1.302838462E-2,-2.433984084E0,-8.463587229E-1
1.334666667E0,6.304784134E-1,3.182026581E-1,1.999440104E-3,-1.031258072E-2,-2.047884321E0,-6.204197608E-1
1.368033333E0,6.299576269E-1,3.178820175E-1,-6.443013777E-2,-2.284747397E-2,-2.563572969E0,-4.926775942E-1
1.401400000E0,6.261787756E-1,3.166779700E-1,-1.721029337E-1,-4.569977848E-2,-2.487554071E0,-5.055739469E-1
1.434766667E0,6.184726245E-1,3.148323189E-1,-2.391078884E-1,-5.717599970E-2,-1.956305770E0,-4.233428826E-1
1.468133333E0,6.102223091E-1,3.128624250E-1,-2.904120430E-1,-7.135036522E-2,-2.005369778E0,-3.560697010E-1
1.501500000E0,5.990924608E-1,3.100708712E-1,-3.777796944E-1,-8.412379549E-2,-2.562236486E0,-3.614093979E-1
1.534866667E0,5.850118109E-1,3.072485637E-1,-4.621342051E-1,-9.268408495E-2,-1.743412675E0,-2.280763811E-2
1.568233333E0,5.682527049E-1,3.038857533E-1,-4.996488182E-1,-8.950529359E-2,-1.338278830E0,2.173052021E-1
1.601600000E0,5.516685797E-1,3.012755771E-1,-5.389674910E-1,-7.435615425E-2,-8.217275114E-1,7.147350456E-1
1.634966667E0,5.322856076E-1,2.989237192E-1,-5.686012390E-1,-4.583527116E-2,-8.370826458E-1,4.810495285E-1
1.668333333E0,5.137239237E-1,2.982168367E-1,-5.816926340E-1,-3.394188088E-2,-5.884861696E-1,4.745798306E-1
1.701700000E0,4.934673192E-1,2.966586644E-1,-6.156631326E-1,-2.450205840E-2,-2.870122438E-1,4.151121443E-1
1.735066667E0,4.726386707E-1,2.965817326E-1,-6.027378012E-1,1.395414833E-3,9.192538863E-1,8.053454346E-1
1.768433333E0,4.532446166E-1,2.967517851E-1,-5.512376564E-1,2.437393463E-2,1.133991180E0,7.493941449E-1
1.801800000E0,4.358527444E-1,2.982082865E-1,-5.215208035E-1,5.479251699E-2,9.320679049E-1,6.735802704E-1
1.835166667E0,4.184417950E-1,3.004082724E-1,-4.969555943E-1,6.927597139E-2,1.352361662E0,2.944084396E-1
1.868533333E0,4.026892411E-1,3.028313030E-1,-4.301286112E-1,7.365468152E-2,1.858536607E0,5.710464103E-3
1.901900000E0,3.897378790E-1,3.053234948E-1,-3.674445936E-1,7.012760491E-2,1.928076867E0,-1.430670519E-1
1.935266667E0,3.781684385E-1,3.075111519E-1,-3.071909313E-1,6.301902961E-2,2.094013146E0,-4.153342999E-1
1.968633333E0,3.692380042E-1,3.095289647E-1,-2.253989030E-1,4.460298357E-2,2.428893735E0,-2.658381236E-1
2.002000000E0,3.631268184E-1,3.104876576E-1,-1.442405368E-1,3.956083483E-2,2.156468615E0,-3.384201133E-1
2.035366667E0,3.596123523E-1,3.121689911E-1,-8.002316454E-2,3.025645843E-2,2.375238591E0,-4.667748688E-1
2.068733333E0,3.577866059E-1,3.125067720E-1,7.106347458E-3,2.238494778E-3,2.502181535E0,-8.706842013E-1
2.102100000E0,3.600865826E-1,3.123183733E-1,9.699539745E-2,-2.452664754E-2,2.590037531E0,-4.831215522E-1
2.135466667E0,3.642594321E-1,3.108700270E-1,1.723754688E-1,-3.541194470E-2,2.393513312E0,-4.213069975E-1
2.168833333E0,3.715897722E-1,3.099552162E-1,2.604141514E-1,-4.512994704E-2,2.387606649E0,-3.799026715E-1
2.202200000E0,3.816377364E-1,3.078583552E-1,3.321536192E-1,-6.645161429E-2,1.844804775E0,-3.537920528E-1
2.235566667E0,3.937554904E-1,3.055206784E-1,3.836432919E-1,-6.759276885E-2,1.914903004E0,-4.210716166E-2
2.268933333E0,4.072395321E-1,3.033476644E-1,4.542049184E-1,-6.767658472E-2,1.692242547E0,4.360056101E-2
2.302300000E0,4.240660986E-1,3.010043944E-1,5.075000466E-1,-6.632250428E-2,1.293289453E0,4.582015627E-1
2.335666667E0,4.411067019E-1,2.989217427E-1,5.313259173E-1,-3.896874673E-2,9.817003070E-1,6.911656067E-1
2.369033333E0,4.595232482E-1,2.984038800E-1,5.751324268E-1,-1.423999886E-2,8.964171471E-1,6.526045765E-1
2.402400000E0,4.794872058E-1,2.979714601E-1,5.952632001E-1,-2.218975976E-4,-1.122205601E-1,2.988618611E-1
2.435766667E0,4.992471457E-1,2.983890720E-1,5.670510763E-1,9.579913707E-3,-2.683382800E-1,6.616594787E-1
2.469133333E0,5.173284143E-1,2.986107596E-1,5.670170238E-1,3.694553738E-2,-7.838461164E-2,7.632835952E-1
2.502500000E0,5.370860818E-1,3.008545709E-1,5.750344989E-1,6.930009155E-2,-8.267122293E-1,5.171241904E-1
2.535866667E0,5.557023832E-1,3.032353857E-1,5.101922258E-1,6.816778123E-2,-1.758819331E0,4.853978133E-2
2.569233333E0,5.711329096E-1,3.054036342E-1,4.484646633E-1,7.054175462E-2,-1.529893040E0,1.378887547E-1
2.602600000E0,5.856299251E-1,3.079428722E-1,4.138648835E-1,7.899897779E-2,-1.620955154E0,4.760833871E-2
2.635966667E0,5.987514929E-1,3.106754993E-1,3.435088382E-1,7.477065410E-2,-2.079097010E0,-1.847966592E-1
2.669333333E0,6.085534149E-1,3.129325672E-1,2.675904734E-1,6.464526179E-2,-1.948765863E0,-1.290665403E-1
2.702700000E0,6.166086971E-1,3.149894931E-1,2.166304397E-1,6.573467862E-2,-2.137086679E0,-4.556977141E-1
2.736066667E0,6.230098862E-1,3.173192614E-1,1.304091153E-1,4.008058626E-2,-2.570965367E0,-7.851869344E-1
2.769433333E0,6.253113321E-1,3.176642042E-1,3.579012980E-2,5.014985197E-3,-2.153924158E0,-6.542517256E-1
2.802800000E0,6.253982809E-1,3.176539281E-1,-1.195424178E-2,-7.837432751E-4,-2.177528989E0,-6.806623915E-1
2.836166667E0,6.245135857E-1,3.176119024E-1,-9.863946729E-2,-3.496790966E-2,-2.662637211E0,-8.292773638E-1
2.869533333E0,6.188157404E-1,3.153204029E-1,-2.034926288E-1,-6.606083049E-2,-2.464456431E0,-6.058684849E-1
2.902900000E0,6.109338443E-1,3.132034430E-1,-2.589072039E-1,-6.903784088E-2,-1.821179834E0,-1.333229268E-1
2.936266667E0,6.015379997E-1,3.107132776E-1,-3.211776240E-1,-7.664202298E-2,-1.967329345E0,-1.164034203E-1
2.969633333E0,5.895005908E-1,3.080888653E-1,-3.935747839E-1,-7.684067706E-2,-1.839915014E0,-1.303997277E-2
3.003000000E0,5.752734425E-1,3.055854431E-1,-4.450199675E-1,-7.649692930E-2,-1.576023789E0,1.164446602E-1
3.036366667E0,5.598029250E-1,3.029839702E-1,-4.949173922E-1,-7.077592482E-2,-1.597064333E0,1.787791053E-1
3.069733333E0,5.422459552E-1,3.008623297E-1,-5.539079755E-1,-6.246257159E-2,-9.412461270E-1,5.263320308E-1
3.103100000E0,5.228387994E-1,2.988156346E-1,-5.637408541E-1,-3.948099149E-2,-2.481898251E-1,7.055609410E-1
3.136466667E0,5.046256488E-1,2.982276316E-1,-5.594541005E-1,-1.033443109E-2,-2.482805296E-1,6.647378248E-1
3.169833333E0,4.855045624E-1,2.981259836E-1,-5.850410838E-1,2.978176975E-3,-1.400186946E-1,2.953725526E-1
3.203200000E0,4.655839072E-1,2.984263752E-1,-5.736208013E-1,9.925149597E-3,7.796780120E-1,4.892235921E-1
3.236566667E0,4.472249343E-1,2.987883219E-1,-5.278134681E-1,3.200595915E-2,1.083011595E0,6.854548337E-1
3.269933333E0,4.303611551E-1,3.005622396E-1,-4.991791998E-1,6.052920328E-2,1.130489209E0,5.910014082E-1
3.303300000E0,4.139130424E-1,3.028276374E-1,-4.586879344E-1,7.019793493E-2,1.521676707E0,1.700000566E-1
3.336666667E0,3.997513802E-1,3.052467818E-1,-3.931947127E-1,7.160773720E-2,1.528479525E0,-2.059345738E-1
3.370033333E0,3.876738485E-1,3.076062604E-1,-3.538221047E-1,5.772602580E-2,1.828959017E0,-3.622981008E-1
3.403400000E0,3.761396518E-1,3.090990319E-1,-2.823278062E-1,4.395873770E-2,2.595682804E0,-2.895609076E-1
3.436766667E0,3.688331729E-1,3.105397735E-1,-1.705796516E-1,4.042824731E-2,2.557952701E0,-1.350374122E-1
3.470133333E0,3.647563030E-1,3.117969436E-1,-1.087668155E-1,3.469826744E-2,2.067126735E0,-4.045921170E-1
3.503500000E0,3.615748008E-1,3.128553045E-1,-4.316812751E-2,1.531386005E-2,2.276392348E0,-6.018777732E-1
3.536866667E0,3.618755500E-1,3.128188885E-1,5.024632288E-2,-8.649003329E-3,2.368851881E0,-7.854815760E-1
3.570233333E0,3.649279054E-1,3.122781277E-1,1.157695119E-1,-3.433052554E-2,2.401301777E0,-3.191629232E-1
3.603600000E0,3.696012354E-1,3.105278981E-1,2.026075003E-1,-3.634741223E-2,2.602828491E0,-1.943491357E-1
3.636966667E0,3.784485793E-1,3.098525437E-1,2.990268353E-1,-3.762538496E-2,2.321032299E0,-3.104415826E-1
3.670333333E0,3.895562929E-1,3.080170308E-1,3.550722824E-1,-6.316711053E-2,1.650371329E0,-4.757976533E-1
3.703700000E0,4.021437362E-1,3.056371919E-1,4.064816536E-1,-6.948636883E-2,1.694410831E0,-7.151306829E-2
3.737066667E0,4.166821686E-1,3.033799738E-1,4.686295546E-1,-6.642414103E-2,1.651282328E0,4.514705588E-1
3.770433333E0,4.334169485E-1,3.012044876E-1,5.193589316E-1,-4.251187330E-2,8.552497697E-1,4.343846501E-1
3.803800000E0,4.513407213E-1,3.005430147E-1,5.274775518E-1,-2.971594062E-2,6.880871276E-1,3.445505983E-1
3.837166667E0,4.686172838E-1,2.992214438E-1,5.546882581E-1,-2.733877999E-2,5.026964859E-1,2.933873878E-1
3.870533333E0,4.883569177E-1,2.987186068E-1,5.752854182E-1,-6.450191379E-3,3.641589328E-1,8.455497894E-1
3.903900000E0,5.070079974E-1,2.987910010E-1,5.677961044E-1,2.634420508E-2,-1.233344380E-1,8.838517874E-1
3.937266667E0,5.262478444E-1,3.004766434E-1,5.724950587E-1,5.724666218E-2,-4.547296494E-1,6.303269356E-1
3.970633333E0,5.452125010E-1,3.026112616E-1,5.391818156E-1,6.651399933E-2,-1.406483876E0,3.649376595E-1
4.004000000E0,5.622292442E-1,3.049153443E-1,4.757733662E-1,7.982569498E-2,-1.573378784E0,2.187411573E-1
4.037366667E0,5.769624436E-1,3.079382963E-1,4.302001362E-1,8.467279326E-2,-1.378077581E0,-5.328124388E-3
4.070733333E0,5.909379333E-1,3.105658421E-1,3.896279744E-1,7.655199287E-2,-1.689652625E0,-2.942229232E-1
4.104100000E0,6.029636171E-1,3.130468660E-1,3.169295675E-1,6.639481026E-2,-2.198022544E0,-1.706279413E-1
4.137466667E0,6.120876998E-1,3.149965891E-1,2.395415071E-1,6.260796784E-2,-2.373871703E0,-3.747399553E-1
4.170833333E0,6.189490203E-1,3.172249044E-1,1.613614797E-1,4.660047365E-2,-2.101090192E0,-4.643494984E-1
4.204200000E0,6.228558892E-1,3.181063940E-1,9.471909790E-2,2.540272567E-2,-1.988433737E0,-4.413370600E-1
4.237566667E0,6.252699415E-1,3.189201129E-1,3.406857986E-2,2.032229420E-2,-2.261272598E0,-7.084860438E-1
4.270933333E0,6.251293991E-1,3.194625685E-1,-5.646069708E-2,-1.799939802E-2,-2.533467334E0,-7.869539642E-1
4.304300000E0,6.215021310E-1,3.177189531E-1,-1.399891195E-1,-4.275766269E-2,-2.247511329E0,-4.551987893E-1
4.337666667E0,6.157874585E-1,3.166092071E-1,-2.033365214E-1,-3.982994300E-2,-2.060894278E0,-3.354333601E-1
4.371033333E0,6.079328071E-1,3.150609682E-1,-2.763619802E-1,-6.562958679E-2,-2.170169060E0,-4.340946012E-1
4.404400000E0,5.973449024E-1,3.122295260E-1,-3.505352302E-1,-7.479186100E-2,-1.973106690E0,-1.149755985E-1
4.437766667E0,5.845404227E-1,3.100698580E-1,-4.081826729E-1,-6.730992997E-2,-1.531496126E0,5.673269882E-2
4.471133333E0,5.701055120E-1,3.077377100E-1,-4.521778583E-1,-7.277145229E-2,-1.535611502E0,-5.448154800E-2
4.504500000E0,5.543650870E-1,3.052135765E-1,-5.076311638E-1,-7.192965139E-2,-1.668308701E0,1.982980937E-1
4.537866667E0,5.362295924E-1,3.029376046E-1,-5.675382607E-1,-5.933314262E-2,-7.072302887E-1,6.476147755E-1
4.571233333E0,5.164913671E-1,3.012540781E-1,-5.609359906E-1,-2.967544439E-2,2.535982847E-2,7.311368954E-1
4.604600000E0,4.987964639E-1,3.009572633E-1,-5.507478514E-1,-6.250892527E-3,4.638181332E-2,5.096451040E-1
4.637966667E0,4.797381271E-1,3.008369352E-1,-5.684432163E-1,1.405910359E-3,-7.031624444E-2,2.917587056E-1
4.671333333E0,4.608623533E-1,3.010510844E-1,-5.534858795E-1,1.329145829E-2,7.810490893E-1,4.656274799E-1
4.704700000E0,4.428021694E-1,3.017239185E-1,-5.167256444E-1,3.203137519E-2,1.103773263E0,6.736299635E-1
