,t,f,e,s
293,2.93,1842.6555850731,0.000274462891,100734828.48559536
302,3.02,1965.10109646942,0.00028666992200000003,107428715.11815888
300,3.0,1906.8648178524002,0.00028666992200000003,104245037.39474313
297,2.97,1896.4121502925202,0.000292773437,103673607.94130044
303,3.03,1966.5943327858802,0.00029887695299999994,107510347.79300359
305,3.05,1972.5672869481602,0.00029887695299999994,107836878.9787356
306,3.06,1984.5131908245,0.00029887695299999994,108489941.10702299
316,3.16,2099.49250729386,0.00030192871099999995,114775663.6358332
299,2.99,1930.7566256050798,0.00030192871099999995,105551161.65131792
298,2.98,1893.4256776596,0.00030498046899999997,103510342.591611
313,3.13,2059.17508671546,0.000308032227,112571579.22643687
308,3.08,2002.4320444149002,0.000314135742,109469534.17786582
307,3.07,2000.93880809844,0.000314135742,109387901.50302109
310,3.1,2027.8170884840401,0.0003171875,110857291.10928534
315,3.15,2100.98574805854,0.000320239258,114857296.55385451
304,3.04,2014.37794829124,0.000320239258,110122596.30615322
312,3.12,2069.6277498271197,0.000323291016,113143008.43670297
314,3.14,2087.54660341752,0.000323291016,114122601.50754581
323,3.23,2177.14088026596,0.000338549805,119020567.34811307
318,3.18,2111.4384111701997,0.00034465332,115428725.76412061
311,3.11,2045.7359420744397,0.00035075683599999994,111836884.18012814
320,3.2,2144.28964571808,0.00035380859399999996,117224646.55611685
321,3.21,2163.70174007316,0.00035686035199999997,118285872.54498097
322,3.22,2160.71526299202,0.000359912109,118122606.95211497
326,3.26,2218.9515416090403,0.000359912109,121306284.67553073
324,3.24,2168.18145347076,0.000362963867,118530770.81269167
328,3.28,2201.0326880186403,0.000366015625,120326691.60468791
337,3.37,2383.20771434844,0.000366015625,130285888.63551186
341,3.41,2402.6198042553,0.000369067383,131347114.3811994
325,3.25,2207.0056377326996,0.000372119141,120653222.54724328
319,3.19,2132.34374184174,0.000372119141,116571584.42782944
309,3.09,2029.3103248005,0.000372119141,110938923.78413005
329,3.29,2241.35010859704,0.00038127441400000005,122530776.01408426
327,3.27,2236.87039519944,0.00038432617200000006,122285877.74637353
330,3.3,2242.84334936172,0.00038737792999999997,122612408.93210553
331,3.31,2290.62696041886,0.00039653320299999997,125224657.2020786
334,3.34,2366.7820970745,0.00039653320299999997,129387928.23951375
336,3.36,2369.76856970742,0.000399584961,129551193.58920316
335,3.35,2359.31590659576,0.00040568847699999996,128979764.37893707
338,3.38,2398.1400908576998,0.000411791992,131102216.11348867
343,3.43,2438.45751588432,0.000417895508,133306300.76606162
342,3.42,2407.0995176529,0.000417895508,131592012.6489101
317,3.17,2135.3302189228802,0.000417895508,116734850.02069545
344,3.44,2462.349323637,0.000423999023,134612425.02263644
333,3.33,2348.8632390358803,0.00042705078099999997,128408334.92549436
346,3.46,2462.349323637,0.00042705078099999997,134612425.02263644
340,3.4,2393.6603774601,0.000430102539,130857317.84577797
339,3.39,2407.0995176529,0.000439257812,131592012.6489101
345,3.45,2450.4034197606597,0.000439257812,133959362.89434902
347,3.47,2483.25465430854,0.000439257812,135755283.68634525
332,3.32,2360.8091429122196,0.000445361328,129061397.05378173
350,3.5,2489.2276040225997,0.000445361328,136081814.62890068
353,3.53,2539.99769216088,0.000445361328,138857328.49173972
356,3.56,2539.99769216088,0.000448413086,138857328.49173972
351,3.51,2502.6667442154003,0.000448413086,136816509.43203282
348,3.48,2466.8290370346,0.000448413086,134857323.29034713
363,3.63,2620.63254221412,0.00045146484400000004,143265497.79688558
352,3.52,2532.5315016821405,0.000454516602,138449164.63116306
354,3.54,2511.6261710106,0.000463671875,137306305.96745422
367,3.67,2693.8011973404,0.000463671875,147265502.99827817
349,3.49,2505.65322129654,0.000466723633,136979775.0248988
358,3.58,2584.7948305851,0.000466723633,141306311.41202337
355,3.55,2559.40978651596,0.000472827148,139918554.48060384
359,3.59,2595.24749814498,0.000472827148,141877740.86546606
360,3.6,2622.1257785305797,0.00047587890599999996,143347130.4717303
365,3.65,2666.9229169548003,0.000478930664,145796113.39201397
361,3.61,2640.04463212098,0.000481982422,144326723.54257312
357,3.57,2586.2880669015603,0.000481982422,141387944.0868681
364,3.64,2644.52434551858,0.0004941894530000001,144571621.81028384
371,3.71,2717.69300509308,0.0004941894530000001,148571627.254853
362,3.62,2649.0040633644003,0.0004972412110000001,144816520.32117113
366,3.66,2680.3620571476,0.000500292969,146530808.19514605
369,3.69,2702.7606241355998,0.000506396484,147755299.53369957
370,3.7,2705.74710121674,0.000506396484,147918565.12656558
368,3.68,2689.3214839428,0.000509448242,147020604.73056749
378,3.78,2802.8075685439203,0.0005125,153224694.8277096
375,3.75,2802.8075685439203,0.000518603516,153224694.8277096
373,3.73,2735.61185868348,0.0005216552730000001,149551220.3256958
388,3.88,2917.7868850132804,0.0005216552730000001,159510417.35651982
381,3.81,2841.6317528058603,0.0005216552730000001,155347146.56226122
385,3.85,2899.86803142288,0.0005247070309999999,158530824.28567696
372,3.72,2723.66595480714,0.000527758789,148898158.19740844
377,3.77,2777.4225200265605,0.0005308105469999999,151836937.65311348
383,3.83,2849.0979432846,0.0005308105469999999,155755310.4228379
380,3.8,2849.0979432846,0.0005369140620000001,155755310.4228379
384,3.84,2859.5506063962603,0.0005430175780000001,156326739.63310406
376,3.76,2778.91576079124,0.0005430175780000001,151918570.57113475
387,3.87,2901.3612677393403,0.000546069336,158612456.9605217
382,3.82,2856.5641293151198,0.0005491210940000001,156163474.04023802
396,3.96,2996.92849430184,0.000555224609,163836953.7436444
386,3.86,2887.92212754654,0.0005643798830000001,157877762.15738958
391,3.91,2940.1854564495,0.0005643798830000001,160734908.93824992
394,3.94,2992.44878090424,0.0005643798830000001,163592055.47593364
389,3.89,2920.77336209442,0.000567431641,159673682.9493858
374,3.74,2765.4766205984397,0.000567431641,151183875.7680026
393,3.93,2971.5434502327,0.000570483398,162449196.81222484
400,4.0,3050.6850595212604,0.0005857421870000001,166775733.19934943
395,3.95,3004.39468478058,0.000588793945,164245117.60422108
390,3.9,2934.2125022872196,0.000591845703,160408377.75251788
392,3.92,2955.11783295876,0.000591845703,161551236.41622674
397,3.97,3017.83382497338,0.000594897461,164979812.4073532
399,3.99,3040.2323964096,0.0005979492190000001,166204303.9890833
398,3.98,3013.3541115757803,0.000601000977,164734914.1396425
379,3.79,2811.76699533912,0.000604052734,153714491.363131
402,4.02,3068.6039175598803,0.0006071044919999999,167755326.51336884
401,4.01,3053.6715366024,0.0006071044919999999,166938998.7922154
404,4.04,3089.5092482314203,0.00061015625,168898185.17707765
417,4.17,3219.4209456582603,0.000613208008,176000235.4270413
403,4.03,3079.05658067154,0.000616259766,168326755.72363493
406,4.06,3132.81314589096,0.0006223632809999999,171265535.17934
412,4.12,3158.1981899601,0.0006223632809999999,172653292.11075953
408,4.08,3125.34695541222,0.000625415039,170857371.3187633
405,4.05,3101.45514765954,0.0006284667969999999,169551247.06218848
411,4.11,3156.70495364364,0.000631518555,172571659.43591478
409,4.09,3147.7455268484396,0.000631518555,172081862.90049338
410,4.1,3159.6914262765604,0.000631518555,172734924.78560424
407,4.07,3138.78609560502,0.0006376220700000001,171592066.1218954
413,4.13,3171.6373301529,0.0006406738280000001,173387986.91389164
414,4.14,3180.5967569481,0.000643725586,173877783.44931304
420,4.2,3249.285703125,0.000643725586,177632890.6261715
418,4.18,3238.8330355651196,0.0006498291019999999,177061461.17272878
428,4.28,3349.3326430851,0.000652880859,183102285.67700487
422,4.22,3300.0557912632803,0.0006559326169999999,180408404.48901057
431,4.31,3386.66359103058,0.000658984375,185143104.73671183
416,4.16,3222.4074227394003,0.0006620361330000001,176163501.0199073
423,4.23,3298.5625549468195,0.0006620361330000001,180326771.81416583
419,4.19,3244.8059897274,0.0006620361330000001,177387992.3584608
415,4.15,3204.4885647007804,0.0006681396480000001,175183907.70588788
425,4.25,3328.4273124135607,0.0006681396480000001,181959427.01329613
426,4.26,3332.9070258111606,0.0006681396480000001,182204325.2810068
446,4.46,3540.4670962101,0.0006742431639999999,193551279.24325028
440,4.4,3489.6970080718197,0.00068034668,190775765.3804112
421,4.21,3274.67074719414,0.00068034668,179020647.55759102
429,4.29,3356.7988335638397,0.000692553711,183510449.5375816
432,4.32,3421.00806189492,0.000695605469,187020658.20355278
437,4.37,3462.818723238,0.000701708984,189306375.53097042
430,4.3,3377.70416423538,0.000701708984,184653308.20129043
427,4.27,3355.3055972473803,0.000704760742,183428816.8627369
438,4.38,3440.42015625,0.0007078125,188081884.1924169
424,4.24,3320.96112193482,0.0007078125,181551263.15271938
433,4.33,3406.07568538566,0.000710864258,186204330.72557595
443,4.43,3510.60233874336,0.000720019531,191918624.04412007
435,4.35,3423.9945389760605,0.000720019531,187183923.7964188
441,4.41,3482.23081759308,0.000723071289,190367601.51983452
436,4.36,3452.3660601263396,0.000723071289,188734946.32070428
434,4.34,3406.07568538566,0.000723071289,186204330.72557595
439,4.39,3485.21729467422,0.0007261230469999999,190530867.11270052
445,4.45,3534.4941464960402,0.0007261230469999999,193224748.30069488
442,4.42,3518.0685292221,0.000729174805,192326787.90469676
447,4.47,3544.9468096077,0.000732226562,193796177.51096097
449,4.49,3586.7574709507803,0.0007444335940000001,196081894.83837864
448,4.48,3567.34538104392,0.0007444335940000001,195020669.0926911
444,4.44,3547.93328668884,0.0007474853519999999,193959443.10382697
450,4.5,3589.7439480319204,0.000750537109,196245160.43124464
454,4.54,3640.5140361701997,0.0007535888669999999,199020674.29408365
451,4.51,3639.02079985374,0.0007596923830000001,198939041.61923897
453,4.53,3624.0884188962605,0.0007657958980000001,198122713.8980856
455,4.55,3658.4328897605997,0.0007657958980000001,200000267.3649265
461,4.61,3704.7232689495,0.0007657958980000001,202530883.20323142
459,4.59,3701.7367918683603,0.0007688476559999999,202367617.61036545
467,4.67,3765.94602019944,0.0007780029299999999,205877826.2763366
458,4.58,3695.76383770608,0.000784106445,202041086.4246334
483,4.83,3945.1345694481,0.000784106445,215673757.71429458
456,4.56,3674.8585070345403,0.0007871582030000001,200898227.76092464
457,4.57,3703.2300281848197,0.0007871582030000001,202449250.28521013
452,4.52,3634.54108645614,0.000790209961,198694143.35152826
462,4.62,3728.61507225396,0.0007963134769999999,203837007.21662968
464,4.64,3730.10831301864,0.0007963134769999999,203918640.13465095
472,4.72,3849.5673428856003,0.0007963134769999999,210449260.9311719
463,4.63,3731.6015493351006,0.000802416992,204000272.8094957
460,4.6,3701.7367918683603,0.00080546875,202367617.61036545
465,4.65,3767.4392609641204,0.00080546875,205959459.1943579
468,4.68,3770.4257335970406,0.0008085205080000001,206122724.54404733
475,4.75,3864.4997238430806,0.000811572266,211265588.65232533
480,4.8,3922.7360024601003,0.000811572266,214449266.37574106
495,4.95,4086.9921751995003,0.000811572266,223428870.3357222
470,4.7,3803.2769681449195,0.000814624023,207918645.3360435
473,4.73,3816.71611278594,0.0008176757809999999,208653340.38235223
466,4.66,3774.90544699464,0.0008176757809999999,206367622.811758
474,4.74,3867.4862009242197,0.000823779297,211428854.24519128
489,4.89,4031.7423692154,0.000823779297,220408457.96199584
476,4.76,3876.4456277194195,0.000835986328,211918650.78061268
484,4.84,3995.9046620346007,0.000845141602,218449271.82031024
481,4.81,3906.3103851861597,0.000848193359,213551305.9797429
487,4.87,4003.3708480651203,0.0008512451169999999,218857435.43771034
477,4.77,3907.8036215026204,0.000854296875,213632938.65458766
479,4.79,3922.7360024601003,0.000854296875,214449266.37574106
469,4.69,3812.23639494012,0.000857348633,208408441.87146497
471,4.71,3848.07410656914,0.000857348633,210367628.25632718
486,4.86,3985.45199447472,0.000860400391,217877842.3668675
488,4.88,4009.3438022273995,0.000860400391,219183966.6234423
490,4.9,4027.2626558178004,0.000860400391,220163559.69428515
492,4.92,4067.5800808444196,0.0008634521480000001,222367644.34685805
485,4.85,3980.9722810771204,0.0008634521480000001,217632944.09915683
482,4.82,3939.16161973404,0.0008634521480000001,215347226.77173916
493,4.93,4088.48541151596,0.0008787109369999999,223510503.01056692
491,4.91,4045.1815138564198,0.000884814453,221143153.00830454
494,4.94,4106.404265106361,0.0008878662109999999,224490096.08140978
501,5.01,4178.0796883644,0.000890917969,228408468.85113415
497,4.97,4122.829882380301,0.0008939697269999999,225388056.47740787
478,4.78,3903.32390810502,0.000897021484,213388040.38687694
509,5.09,4254.23482057182,0.0009000732419999999,232571739.64539275
496,4.96,4112.377219268639,0.0009061767580000001,224816627.26714167
498,4.98,4130.29607285904,0.0009061767580000001,225796220.33798453
500,5.0,4166.13378448806,0.000909228516,227755406.72284678
499,4.99,4149.70816721412,0.000915332031,226857446.32684866
504,5.04,4219.89034970748,0.000915332031,230694186.17855182
505,5.05,4182.559401762001,0.000921435547,228653367.11884493
507,5.07,4231.8362491356,0.000921435547,231347248.06366265
511,5.11,4270.6604378457605,0.000921435547,233469700.0413909
503,5.03,4190.02558779252,0.000927539062,229061530.736245
508,5.08,4230.34301281914,0.0009366943359999999,231265615.38881797
506,5.06,4206.45120506646,0.0009366943359999999,229959491.13224313
513,5.13,4284.09957803856,0.000948901367,234204394.844523
517,5.17,4333.37642986038,0.000951953125,236898276.03251734
510,5.1,4270.6604378457605,0.000955004883,233469700.0413909
514,5.14,4293.05900483376,0.000955004883,234694191.37994438
512,5.12,4269.16719708108,0.000958056641,233388067.1233696
515,5.15,4324.41700306518,0.000958056641,236408479.49709594
523,5.23,4422.970702260601,0.000958056641,241796241.62990808
516,5.16,4330.38995277924,0.000961108398,236735010.43965134
519,5.19,4351.2952834507805,0.000961108398,237877869.10336018
527,5.27,4466.27460436836,0.0009794189449999998,244163591.87534696
521,5.21,4411.02480283248,0.0009794189449999998,241143179.74479723
520,5.2,4366.22766440826,0.000982470703,238694196.82451358
525,5.25,4445.3692736968205,0.0009855224609999999,243020733.21163818
518,5.18,4345.32233373672,0.0009855224609999999,237551338.16080475
522,5.22,4419.98422962768,0.0009855224609999999,241632976.28021863
526,5.26,4434.91660613694,0.0009885742189999999,242449303.75819543
536,5.36,4554.37564045212,0.0009916259769999999,248979924.79789296
529,5.29,4490.16641212104,0.000994677734,245469716.13192177
530,5.3,4494.64612551864,0.000994677734,245714614.39963245
502,5.02,4213.9173955452,0.000994677734,230367654.99281982
541,5.41,4597.679542559879,0.000997729492,251347275.04333183
531,5.31,4518.537928823101,0.0010038330080000002,247020738.41303074
528,5.28,4443.876032932139,0.0010038330080000002,242939100.29361683
524,5.24,4419.98422962768,0.0010038330080000002,241632976.28021863
535,5.35,4539.44325949464,0.001012988281,248163597.07673955
534,5.34,4533.4703097805805,0.001019091797,247837066.13418415
538,5.38,4603.65249227394,0.001022143555,251673805.9858873
537,5.37,4561.841830930861,0.0010251953119999999,249388088.6584697
539,5.39,4578.2674482048005,0.0010251953119999999,250286049.0544678
543,5.43,4627.54430002662,0.0010312988279999999,252979930.2424621
533,5.33,4520.03116958778,0.0010312988279999999,247102371.331052
540,5.4,4611.118682752679,0.0010312988279999999,252081969.84646395
532,5.32,4557.36211753326,0.001037402344,249143190.39075896
546,5.46,4673.8346747673,0.001043505859,255510545.8375905
553,5.53,4741.030380179521,0.001043505859,259184020.09642768
544,5.44,4658.902293809821,0.001046557617,254694218.11643708
552,5.52,4723.11152658912,0.001046557617,258204427.02558482
556,5.56,4782.841041522601,0.001046557617,261469737.42384532
542,5.42,4633.517249740679,0.001046557617,253306461.1850175
550,5.5,4714.152099793921,0.001052661133,257714630.49016342
548,5.48,4688.767051276561,0.001058764648,256326873.3155673
551,5.51,4747.00332989358,0.001061816406,259510551.03898302
545,5.45,4655.9158211769,0.001061816406,254530952.76674762
547,5.47,4700.7129551529,0.001064868164,256979935.4438547
554,5.54,4758.94923376992,0.00107097168,260163613.16727045
549,5.49,4696.2332417553,0.001074023437,256735037.17614397
566,5.66,4906.779789235379,0.001080126953,268245256.73125345
557,5.57,4799.2666587965405,0.001083178711,262367697.8198434
560,5.6,4802.25313587768,0.001083178711,262530963.41270936
558,5.58,4791.800468317801,0.001095385742,261959533.95926672
559,5.59,4794.78694539894,0.001101489258,262122799.55213267
575,5.75,5003.84025211434,0.001101489258,273551386.18922085
561,5.61,4827.638179946821,0.001101489258,263918720.34412897
564,5.64,4873.9285546875,0.001104541016,266449335.93925723
562,5.62,4864.9691278923,0.001104541016,265959539.40383583
555,5.55,4758.94923376992,0.001107592773,260163613.16727045
568,5.68,4909.766266316521,0.0011136962889999999,268408522.32411954
569,5.69,4924.69864282578,0.001122851562,269224849.8020963
565,5.65,4878.408268085101,0.00112590332,266694234.20696798
570,5.7,4923.205406509321,0.001128955078,269143217.1272516
571,5.71,4950.08368689492,0.001132006836,270612606.73351586
573,5.73,4981.44168512634,0.0011350585939999998,272326894.85066736
567,5.67,4897.820362440179,0.0011411621089999998,267755460.19583204
563,5.63,4884.381222247379,0.0011442138669999998,267020765.3926999
578,5.78,5011.30644259308,0.0011442138669999998,273959550.0497976
580,5.8,5060.5832944149,0.001147265625,276653431.2377919
574,5.74,4968.00254493354,0.001150317383,271592200.04753524
579,5.79,5041.171200059821,0.001153369141,275592205.2489279
581,5.81,5069.5427212101,0.001153369141,277143227.7732134
577,5.77,4993.387589002679,0.0011564208980000001,272979956.97895473
585,5.85,5142.711380784601,0.0011564208980000001,281143233.21778256
586,5.86,5105.38043283912,0.0011594726560000001,279102414.1580756
576,5.76,5000.85377948142,0.0011686279300000002,273388120.8395315
584,5.84,5084.47510216758,0.0011686279300000002,277959555.49436677
590,5.9,5147.1910941822,0.001174731445,281388131.4854932
593,5.93,5174.0693745678,0.001177783203,282857521.0917574
572,5.72,4969.49578125,0.001180834961,271673832.7223799
583,5.83,5069.5427212101,0.001180834961,277143227.7732134
588,5.88,5123.29928642952,0.0011869384769999998,280082007.2289184
589,5.89,5148.68433049866,0.0011899902339999999,281469764.1603379
595,5.95,5221.85299007316,0.0011930419919999999,285469769.6049071
582,5.82,5079.995388769979,0.00119609375,277714657.226656
597,5.97,5242.7583207447,0.0011991455080000001,286612628.2686159
591,5.91,5165.1099477726,0.0012052490230000002,282367724.55633605
601,6.01,5295.021645199439,0.0012083007810000002,289469774.8062996
598,5.98,5208.413845432139,0.001211352539,284735074.55859834
587,5.87,5138.231667387,0.001214404297,280898334.9500718
592,5.92,5189.00175552528,0.001214404297,283673848.81291085
596,5.96,5212.89356327796,0.001217456055,284979973.06948566
599,5.99,5262.170410651561,0.001217456055,287673854.0143035
594,5.94,5236.7853665824205,0.0012205078119999998,286286097.08288395
603,6.03,5296.51488596412,0.0012235595699999998,289551407.72432095
600,6.0,5265.1568877327,0.0012357666019999999,287837119.60716945
604,6.04,5308.46078984046,0.001238818359,290204469.8526084
606,6.06,5323.393166349721,0.001238818359,291020797.33058524
608,6.08,5354.751164581139,0.001238818359,292735085.4477367
646,6.46,5731.04711666886,0.001241870117,313306541.3944955
605,6.05,5318.913452952121,0.001241870117,290775899.0628745
607,6.07,5356.244400897601,0.001241870117,292816718.1225815
610,6.1,5360.7241142952,0.001244921875,293061616.3902921
611,6.11,5412.98744319816,0.0012479736330000002,295918763.1711525
614,6.14,5426.42658339096,0.0012510253910000002,296653457.9742846
622,6.22,5475.70343521278,0.001254077148,299347339.16227895
602,6.02,5306.96754907578,0.001254077148,290122836.93458706
616,6.16,5438.3724872673,0.001260180664,297306520.102572
617,6.17,5444.345436981361,0.001263232422,297633051.04512745
609,6.09,5363.71059137634,0.001263232422,293224881.9831581
613,6.13,5408.507729800561,0.00126628418,295673864.9034418
626,6.26,5556.3382808178,0.0012693359369999999,303755508.22424823
612,6.12,5414.4806795146205,0.0012723876949999999,296000395.8459972
615,6.15,5423.44010630982,0.0012784912110000001,296490192.3814186
621,6.21,5456.2913408577,0.001281542969,298286113.17341477
620,6.2,5481.67638492684,0.001284594727,299673870.1048343
624,6.24,5523.48704626992,0.001284594727,301959587.432252
618,6.18,5444.345436981361,0.001284594727,297633051.04512745
632,6.32,5639.95960350396,0.001287646484,308326942.8790835
623,6.23,5554.84504450134,0.00129375,303673875.54940355
640,6.4,5717.607976476061,0.001302905273,312571846.5913634
619,6.19,5474.2101944481,0.001305957031,299265706.2442576
627,6.27,5580.23008857048,0.001315112305,305061632.48082304
628,6.28,5563.80447129654,0.001315112305,304163672.0848249
629,6.29,5589.18951536568,0.001315112305,305551429.0162444
625,6.25,5530.95323674866,0.001318164062,302367751.2928287
630,6.3,5604.12189632316,0.00132121582,306367756.73739785
634,6.34,5632.49341747344,0.00132121582,307918779.26168334
635,6.35,5677.29055144944,0.001333422852,310367761.9387904
643,6.43,5734.03359375,0.001339526367,313469806.9873615
652,6.52,5843.0399605053,0.001339526367,319428998.57361627
639,6.39,5726.56740327126,0.001339526367,313061643.1267848
636,6.36,5665.344647573101,0.001342578125,309714699.81050307
638,6.38,5654.891984461439,0.001342578125,309143270.60023683
642,6.42,5713.12826307846,0.001348681641,312326948.3236526
633,6.33,5632.49341747344,0.001351733398,307918779.26168334
644,6.44,5725.074166954801,0.001354785156,312980010.4519401
631,6.31,5619.05427283242,0.001354785156,307184084.21537465
641,6.41,5722.08768987366,0.001370043945,312816744.85907406
647,6.47,5799.73606284576,0.001373095703,317061648.5713539
648,6.48,5802.7225399269,0.001373095703,317224914.1642199
649,6.49,5834.0805337101,0.0013791992189999998,318939202.0381949
645,6.45,5765.39159198142,0.0013853027339999998,315184095.104513
651,6.51,5837.06701079124,0.0013883544919999998,319102467.6310609
653,6.53,5857.97234146278,0.00139140625,320245326.29476964
661,6.61,5935.620714434879,0.001394458008,324490230.0070495
